Loc Tag,"Spanish"
SHOWDOWN_ADD_FRIENDS_HELP_OPEN,"Pulsa este botón para añadir amigos de ACTIVATE o Facebook.

¡Obtendrás {0} monedas por cada amigo derrotado cuando la batalla acabe en {1}!"
SHOWDOWN_ADD_FRIENDS_HELP_CLOSED,"Pulsa este botón para añadir amigos de ACTIVATE o Facebook y jugar batallas contigo."
SHOWDOWN_FRIENDS_DEFEATED,"{0} amigos vencidos"
SHOWDOWN_STATE_AWARDED,"Premio"
SHOWDOWN_STATE_UPDATING,"Actualizando"
SHOWDOWN_STATE_CLOSED,"Terminado"
SHOWDOWN_LEADERBOARD_NO_SCORE,"Sin puntos"
SHOWDOWN_LIST_REFRESHING,"Actualizando batallas"
SHOWDOWN_LIST_NO_SHOWDOWNS_JOINED,"No hay batallas"
SHOWDOWN_LIST_NO_SHOWDOWNS_FOUND,"No hay datos de batallas"
SHOWDOWN_CHAMPION,"Campeón:
{0}"
SHOWDOWN_X_OF_Y_FRIENDS,"Nº {0} de {1} amigos"
SHOWDOWN_FRIEND_PLAYING_SINGLE,"{0} amigo jugando"
SHOWDOWN_FRIEND_PLAYING_PLURAL,"{0} amigos jugando"
SHOWDOWN_FRIEND_PLAYED_SINGLE,"{0} amigo jugó"
SHOWDOWN_FRIEND_PLAYED_PLURAL,"{0} amigos jugaron"
SHOWDOWN_BUTTON_STOP,"Parar"
SHOWDOWN_BUTTON_STOP_CONFIRM,"Confirmar"
SHOWDOWN_COLLECT_ERROR,"Ahora no puedes recoger el premio.
Inténtalo más tarde."
SHOWDOWN_JOIN_ERROR,"Ahora no puedes unirte.
Inténtalo más tarde."
SHOWDOWN_TIME_REMAINING,"Acaba en {0}"
SHOWDOWN_CLOSE_TIME,"Acabado
{0}/{1}"
SHOWDOWN_REWARD_FRIENDS_DEFEATED,"Amigos derrotados"
SHOWDOWN_REWARD_BREAKDOWN_TITLE,"Lista de premios"
SHOWDOWN_NO_SCORE_POSTED,"No publicaste puntos durante batalla"
SHOWDOWN_DETAILS_UPDATING,"Actualizando"
SHOWDOWN_DETAILS_ADD_FRIENDS_TEXT,"Toca el botón para añadir amigos de ACTIVATE para jugar batallas contigo.

¡Ganarás muchas monedas por cada amigo que venzas!"
SHOWDOWN_MESSAGE_OPEN_SCORE,"¿Jugamos a {0}? ¡Venga!"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE,"¡Supera {0} {1} en {2}!"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE_TIME,"¡Supera {0} en {1}!"
SHOWDOWN_MESSAGE_CLOSED_SCORE,"¡He hecho {0} {1} en {2}! ¡Únete más tarde!"
SHOWDOWN_MESSAGE_CLOSED_NO_SCORE,"¡Deberíamos unirnos a {0}!"
SHOWDOWN_MESSAGE_JOINED_GAINING,"¡Te gano en {0} con {1} {2}! ¡Cuidado!"
SHOWDOWN_MESSAGE_JOINED_CAN_YOU_BEAT,"¿Puedes superar {0} {1} en {2}?"
SHOWDOWN_MESSAGE_JOINED_PREPARE,"Prepárate para mi llegada... Voy a {0}. Es todo."
SHOWDOWN_MESSAGE_JOINED_ALMOST_BEAT,"¡Casi te gano en {0} con {1} {2}! ¡Ojo la próxima!"
SHOWDOWN_MESSAGE_JOINED_BEAT,"Te gané con {0} {1} en {2}. ¡Gracias por todo!"
SHOWDOWN_MESSAGE_JOINED_NICE_JOB,"¡{0} {1} en {2}! ¡Buen trabajo!"
SHOWDOWN_LOCAL_NOTIFICATION_MESSAGE,"La batalla {0} ha terminado. ¡Vuelve para ver si has ganado un premio!"
SHOWDOWN_NOTIFICATION_NEWBESTTIME,"¡Mejor tiempo!
¡{0}!"
SHOWDOWN_NOTIFICATION_NEWHIGHSCORE,"¡Nuevo récord!
¡{0}!"
SHOWDOWN_NOTIFICATION_ATTEMPTCOMPLETED,"¡Intento finalizado!
{0}"
LEADERBOARD_TAB_LOADING,"Cargando marcadores"
SHOWDOWN_DETAILS_TITLE,"Info de marcadores"
LEADERBOARD_TAB_NOT_CONNECTED,"No hay conexión a Internet. Comprueba que estás conectado a Internet para ver los marcadores."
LEADERBOARD_TAB_ERROR,"No se pueden cargar los marcadores"
RATE_APP_DIALOG_OK,"OK"
RATE_APP_DIALOG_LATER,"Luego"
RATE_APP_DIALOG_NO,"No, gracias"
TOY_LINK_STATUS_CONNECTING,"Conectando..."
TOY_LINK_STATUS_CHECKING,"Comprobando..."
TOY_LINK_STATUS_UNLOCKING,"Liberando..."
TOYLINK_ERROR_MISSING_DIGITS,"Ese código es muy corto. ¿No te faltarán dígitos?"
TOYLINK_ERROR_TOO_MANY_UNLOCKS,"Este código único se ha utilizado demasiadas veces."
TOYLINK_ERROR_TIMEOUT,"No hay contacto con el servidor. ¿Estás conectado?"
TOYLINK_ERROR_TITLE_TRY_AGAIN,"Reinténtalo"
TOYLINK_ERROR_UNEXPECTED_ERROR,"Error inesperado durante comprobación de código."
ACTIVATE_PLEASE_WAIT,"Espera..."
ACTIVATE_SYNCING,"Sincronizando..."
ROYALDOUBLETROUBLE_UPGRADE_DESCRIPTION,"Bono doble por despejar guaridas."
POPFIZZ_UPGRADE_DESCRIPTION,"¡Atraviesa los escudos!"
JETVAC_UPGRADE_DESCRIPTION,"Más multiplicadores de la fábrica de objetos mágicos."
ROYALDOUBLETROUBLE_UPGRADE_NAME,"Más queso"
POPFIZZ_UPGRADE_NAME,"Shizzle Fizzle"
JETVAC_UPGRADE_NAME,"Ataque vacío"
ANVILRAIN_NAME,"Nube yunque"
ANVILRAIN_LOCKEDDESCRIPTION,"¡Lanza yunques sobre los trols y destrúyelos desde el cielo!"
ANVILRAIN_DESCRIPTION_LEVEL_1,"Lanza 3 yunques para destruir trols. Multiplicador 100x."
ANVILRAIN_DESCRIPTION_LEVEL_2,"Lanza 4 yunques para destruir trols. Multiplicador 150x."
ANVILRAIN_DESCRIPTION_LEVEL_3,"Lanza 6 yunques para destruir trols. Multiplicador 200x."
ANVILRAIN_DESCRIPTION_LEVEL_4,"Lanza 8 yunques para destruir trols. Multiplicador 250x."
ANVILRAIN_DESCRIPTION_LEVEL_5,"Lanza 10 yunques para destruir trols. Multiplicador 300x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_1,"Destruye 4 trols desde el cielo. Multiplicador 150x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_2,"Destruye 6 trols desde el cielo. Multiplicador 200x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_3,"Destruye 8 trols desde el cielo. Multiplicador 250x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_4,"Destruye 10 trols desde el cielo. Multiplicador 300x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_5,"¡Nube yunque a nivel máximo!"
GHOSTSWORDS_NAME,"Espadas fantasma"
GHOSTSWORDS_LOCKEDDESCRIPTION,"Usa Espadas fantasma para destruir rápidamente enemigos y conseguir un gran bono con cada impacto."
GHOSTSWORDS_DESCRIPTION_LEVEL_1,"Destruye enemigos y proyectiles. Bono 25x."
GHOSTSWORDS_DESCRIPTION_LEVEL_2,"Destruye enemigos y proyectiles. Bono 50x."
GHOSTSWORDS_DESCRIPTION_LEVEL_3,"Destruye enemigos y proyectiles. Bono 75x."
GHOSTSWORDS_DESCRIPTION_LEVEL_4,"Destruye enemigos y proyectiles. Bono 100x."
GHOSTSWORDS_DESCRIPTION_LEVEL_5,"Destruye enemigos y proyectiles. Bono 125x."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_1,"Mejora para obtener un bono 50x y más duración."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_2,"Mejora para obtener un bono 75x y más duración."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_3,"Mejora para obtener un bono 100x y más duración."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_4,"Mejora para obtener un bono 125x y más duración."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_5,"Nivel máx."
HEALINGELIXIR_NAME,"Elixir salud"
HEALINGELIXIR_LOCKEDDESCRIPTION,"¡Gasta monedas para seguir volando después de ser alcanzado!"
HEALINGELIXIR_DESCRIPTION_LEVEL_1,"¡Cambia monedas por otra oportunidad!"
HEALINGELIXIR_DESCRIPTION_LEVEL_2,"¡Cambia 10% monedas menos por otra oportunidad!"
HEALINGELIXIR_DESCRIPTION_LEVEL_3,"¡Cambia 20% monedas menos por otra oportunidad!"
HEALINGELIXIR_DESCRIPTION_LEVEL_4,"¡Cambia 30% monedas menos por otra oportunidad!"
HEALINGELIXIR_DESCRIPTION_LEVEL_5,"¡Cambia 40% monedas menos por otra oportunidad!"
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_1,"Reduce el coste un 10%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_2,"Reduce el coste un 20%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_3,"Reduce el coste un 30%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_4,"Reduce el coste un 40%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_5,"Nivel máx."
WINGEDBOOTS_NAME,"Botas aladas"
WINGEDBOOTS_LOCKEDDESCRIPTION,"¡Teletransporta tu nave!"
WINGEDBOOTS_DESCRIPTION_LEVEL_1,"Atraviesa 3 áreas."
WINGEDBOOTS_DESCRIPTION_LEVEL_2,"Atraviesa 4 áreas."
WINGEDBOOTS_DESCRIPTION_LEVEL_3,"Atraviesa 5 áreas."
WINGEDBOOTS_DESCRIPTION_LEVEL_4,"Atraviesa 6 áreas."
WINGEDBOOTS_DESCRIPTION_LEVEL_5,"Atraviesa 7 áreas."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_1,"Mejora a 4 áreas."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_2,"Mejora a 5 áreas."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_3,"Mejora a 6 áreas."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_4,"Mejora a 7 áreas."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_5,"Nivel máx."
SPARX_NAME,"Libélula"
SPARX_LOCKEDDESCRIPTION,"¡Destruye con Libélula todas las bombas!"
SPARX_DESCRIPTION_LEVEL_1,"Destruye 6 bombas automáticamente. 2x de multiplicador."
SPARX_DESCRIPTION_LEVEL_2,"Destruye 8 bombas automáticamente. 3x de multiplicador."
SPARX_DESCRIPTION_LEVEL_3,"Destruye 10 bombas automáticamente. 4x de multiplicador."
SPARX_DESCRIPTION_LEVEL_4,"Destruye 12 bombas automáticamente. 5x de multiplicador."
SPARX_DESCRIPTION_LEVEL_5,"Destruye 14 bombas automáticamente. 6x de multiplicador."
SPARX_UPGRADEDESCRIPTION_LEVEL_1,"Destruye 8 bombas y añade un multiplicador de 3x."
SPARX_UPGRADEDESCRIPTION_LEVEL_2,"Destruye 10 bombas y añade un multiplicador de 4x."
SPARX_UPGRADEDESCRIPTION_LEVEL_3,"Destruye 12 bombas y añade un multiplicador de 5x."
SPARX_UPGRADEDESCRIPTION_LEVEL_4,"Destruye 14 bombas y añade un multiplicador de 6x."
SPARX_UPGRADEDESCRIPTION_LEVEL_5,"Nivel máx."
TIMETWISTER_NAME,"Reloj de arena"
TIMETWISTER_LOCKEDDESCRIPTION,"¡Ralentiza el tiempo para apuntar con precisión y facilitar los combos!"
TIMETWISTER_DESCRIPTION_LEVEL_1,"Frena el tiempo al apuntar. 2x de multiplicador."
TIMETWISTER_DESCRIPTION_LEVEL_2,"Frena el tiempo al apuntar. 3x de multiplicador."
TIMETWISTER_DESCRIPTION_LEVEL_3,"Frena el tiempo al apuntar. 4x de multiplicador."
TIMETWISTER_DESCRIPTION_LEVEL_4,"Frena el tiempo al apuntar. 5x de multiplicador."
TIMETWISTER_DESCRIPTION_LEVEL_5,"Frena el tiempo al apuntar. 6x de multiplicador."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_1,"Aumenta el tiempo activo y añade un multiplicador de 3x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_2,"Aumenta el tiempo activo y añade un multiplicador de 4x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_3,"Aumenta el tiempo activo y añade un multiplicador de 5x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_4,"Aumenta el tiempo activo y añade un multiplicador de 6x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_5,"Nivel máx."
HIDDENTREASURE_NAME,"GRAN TESORO"
HIDDENTREASURE_LOCKEDDESCRIPTION,"¡Recoge monedas automáticamente y crea una moneda de combo por cada nivel!"
HIDDENTREASURE_DESCRIPTION_LEVEL_1,"Recoge monedas y suelta más monedas de combo. 2x de multiplicador."
HIDDENTREASURE_DESCRIPTION_LEVEL_2,"Recoge monedas y suelta más monedas de combo. 3x de multiplicador."
HIDDENTREASURE_DESCRIPTION_LEVEL_3,"Recoge monedas y suelta más monedas de combo. 4x de multiplicador."
HIDDENTREASURE_DESCRIPTION_LEVEL_4,"Recoge monedas y suelta más monedas de combo. 5x de multiplicador."
HIDDENTREASURE_DESCRIPTION_LEVEL_5,"Recoge monedas y suelta más monedas de combo. 6x de multiplicador."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_1,"Aumenta el tiempo activo y añade un multiplicador de 3x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_2,"Aumenta el tiempo activo y añade un multiplicador de 4x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_3,"Aumenta el tiempo activo y añade un multiplicador de 5x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_4,"Aumenta el tiempo activo y añade un multiplicador de 6x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_5,"Nivel máx."
SKYIRONSHIELD_NAME,"Escudo cielo"
SKYIRONSHIELD_LOCKEDDESCRIPTION,"¡Consigue muchos puntos tocando bombas y sé invencible!"
SKYIRONSHIELD_DESCRIPTION_LEVEL_1,"Invulnerable al daño cuando esté activo. 6x de multiplicador."
SKYIRONSHIELD_DESCRIPTION_LEVEL_2,"Invulnerable al daño cuando esté activo. 7x de multiplicador."
SKYIRONSHIELD_DESCRIPTION_LEVEL_3,"Invulnerable al daño cuando esté activo. 8x de multiplicador."
SKYIRONSHIELD_DESCRIPTION_LEVEL_4,"Invulnerable al daño cuando esté activo. 9x de multiplicador."
SKYIRONSHIELD_DESCRIPTION_LEVEL_5,"Invulnerable al daño cuando esté activo. 10x de multiplicador."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_1,"Aumenta el tiempo activo y añade multiplicador de 7x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_2,"Aumenta el tiempo activo y añade multiplicador de 8x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_3,"Aumenta el tiempo activo y añade multiplicador de 9x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_4,"Aumenta el tiempo activo y añade multiplicador de 10x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_5,"Nivel máx."
EXTRAMAGICITEMSLOT_NAME,"Ranura de objeto"
EXTRAMAGICITEMSLOT_LOCKEDDESCRIPTION,"¡Recoge dos objetos mágicos y úsalos a la vez!"
EXTRAMAGICITEMSLOT_DESCRIPTION_LEVEL_1,"¡Recoge dos objetos mágicos y úsalos a la vez!"
EXTRAMAGICITEMSLOT_UPGRADEDESCRIPTION_LEVEL_1,"No puedes mejorar este objeto."
ROCKETBOOSTER_NAME,"Más cohetes"
ROCKETBOOSTER_LOCKEDDESCRIPTION,"¡Cambia monedas para avanzar cierta distancia y ganar un multiplicador de puntos 10x!"
ROCKETBOOSTER_DESCRIPTION_LEVEL_1,"¡Cambia monedas para avanzar cierta distancia y ganar un multiplicador de puntos 10x!"
ROCKETBOOSTER_UPGRADEDESCRIPTION_LEVEL_1,"No puedes mejorar este objeto."
SCOREMULTIPLIER_2_NAME,"Multiplicador"
SCOREMULTIPLIER_5_NAME,"Multiplicador"
SCOREMULTIPLIER_10_NAME,"Multiplicador"
SCOREMULTIPLIER_25_NAME,"Multiplicador"
SCOREMULTIPLIER_50_NAME,"Multiplicador"
WILDCARD_NAME,"Fábrica de objetos mágicos"
WILDCARD_LOCKEDDESCRIPTION,"¡Crea objetos mágicos cuando quieras! ¡Escoge al azar objetos comprados, multiplicadores de puntos, gemas, etc.!"
WILDCARD_UPGRADEDESCRIPTION_LEVEL_1,"10 usos por cada compra."
ACTIVATESELL_TITLE,"¡JUEGA ONLINE!"
ACTIVATESELL_FACEBOOK_TITLE,"INICIO EN FACEBOOK"
ACTIVATESELL_FACEBOOK_TEXT,"¡NO SE TARDA NADA! 2 MINUTILLOS."
ACTIVATESELL_CLOUDSAVE_TITLE,"GUARDAR EN NUBE"
ACTIVATESELL_CLOUDSAVE_TEXT,"¡REÚNE A TUS SKYLANDERS Y PROGRESA EN TUS DISPOSITIVOS!"
ACTIVATESELL_SHOWDOWNS_TITLE,"BATALLAS"
ACTIVATESELL_SHOWDOWNS_TEXT,"RETA A TUS AMIGOS Y DEMUÉSTRALES TU HABILIDAD Y DECISIÓN"
SHOWDOWNSELL_TITLE,"Únete a una batalla"
SHOWDOWNSELL_DESCRIPTION,"¡Al final de la batalla, recibirás monedas por cada amigo que derrotes!"
SHOWDOWNSELL_FACEBOOK,"Publica las actividades de las batallas en Facebook para atraer a tus amigos."
PORTALUI_PORTALON,"¿Está encendido?"
PORTALUI_PAIRED,"¿Está vinculado al dispositivo?"
PORTALUI_BATTERIES,"¿Queda poca batería?"
PORTALUI_PLACETOY,"Coloca {0} en Portal de Poder Bluetooth."
PORTALUI_WRONGTOY,"¡Eso no es {0}! "
SHOWDOWNS_SIGNINPROMPT_TEXT,"¡Juega batallas online y gana muchas monedas!"
SHOWDOWNS_SIGNINPROMPT_LEARNMORE,"¡MÁS INFO!"
MAGIC_ITEM_SCREEN_BUY_COINS,"¿{0} monedas por {1} gemas?"
MAGIC_ITEM_USES_FOR_CONSUMABLES,"{0} usos"
MAGIC_ITEM_EMPTY_CONSUMABLE,"¡Vacío!"
CUTSCENE_DISTANCE_BONUS,"Bono de distancia"
SHOWDOWN_NONETWORK_ERROR,"No podemos conectar con ACTIVATE para mostrar las batallas.

Comprueba tu conexión de red."
PORTALUI_TOOMANYTOYS,"Solo puedes colocar un juguete en el Portal de Poder Bluetooth a la vez."
PORTALUI_LINKTOYQUESTION,"¿Quieres guardar permanentemente este juguete en tu cuenta ACTIVATE? "
PORTALUI_TOYLIMITEXPLANATION,"Cada juguete solo puede guardarse en 1 cuenta ACTIVATE."
PORTALUI_TOYGEMREWARDLIMIT,"(Debes estar online)"
GEM_NAME,"Gema"
SHOWDOWN_SELL_TEXT,"Puedes jugar en estos desafíos solo o con amigos. ¡Únete y recoge tu premio cuando termine la batalla!"
SHOWDOWN_SELL_TITLE,"¿BATALLAS?"
ELEMENT_AIR,"Aire"
ELEMENT_FIRE,"Fuego"
ELEMENT_EARTH,"Tierra"
ELEMENT_WATER,"Agua"
ELEMENT_UNDEAD,"Muertos"
ELEMENT_TECH,"Tecnología"
ELEMENT_LIFE,"Vida"
ELEMENT_MAGIC,"Magia"
CREDITS_TITLE,"Créditos"
HELP_TITLE,"Opciones de ayuda"
STOREHUB_TITLE,"Colección"
LOCALNOTIFICATION_EOTD_MATCH,"¡Partida elemento del día! ¡Usa {0} hoy para más monedas!"
GAMECENTER_DISABLED,"Game Center desactivado"
GAMECENTER_REENABLE,"Inicia sesión en la app Game Center para activarla."
GENERIC_CONFIRM,"OK"
GAMECENTER_UNAVAILABLE,"Game Center no disponible"
GAMECENTER_CHECKSETTINGS,"Comprueba tus ajustes en la app Game Center y verifica que estás conectado."
GAMECIRCLE_UNAVAILABLE,"GameCircle no disponible"
GAMECIRCLE_CHECKSETTINGS,"Comprueba tus ajustes y verifica que estás conectado a Internet."
GAMECENTER_CONNECTING,"Conectando con Game Center"
GAMECIRCLE_CONNECTING,"Conectando con Amazon GameCircle"
GENERIC_UNABLETOCONNECT,"No hay conexión"
GAMECENTER_INTERNETREQUIRED,"Se necesita Internet para conectar con Game Center."
GAMECENTER_CANNOTCONNECT,"No hay conexión con Game Center"
GEMPURCHASE_ERRORTITLE,"Comprar gemas"
GEMPURCHASE_INTERNETREQUIRED,"Se necesita Wi-Fi o red móvil para comprar gemas."
GEMPURCHASE_INAPP_RESTRICTION_TEXT,"No puedes comprar en iTunes desde este dispositivo."
GEMPURCHASE_INAPP_RESTRICTION_TITLE,"Restricción en app"
GEMPURCHASE_PURCHASING,"Comprando gemas"
GEMPURCHASE_LOADINGPRODUCTS,"Cargando productos"
GEMPURCHASE_CANNOTCONNECTTOSTORE,"No hay conexión con iTunes Store"
GENERIC_GOBACK,"Volver"
GEMPURCHASE_PURCHASED,"Gemas compradas"
GEMPURCHASE_SUCCEEDED,"¡Compra de gemas completada!"
GEMPURCHASE_FAILED_TITLE,"Error en compra"
GEMPURCHASE_FAILED_TEXT,"No pudimos completar tu compra de gemas."
FAQ_INTERNETREQUIRED,"Se necesita Internet para conectar con la página de preguntas."
MAIL_UNABLETOSEND_TITLE,"No se puede enviar mensaje"
MAIL_UNABLETOSEND_TEXT,"Comprueba la conexión de red y el cliente de correo."
UPDATE_REQUIRED,"Es preciso actualizar"
UPDATE_AVAILABLE,"Nueva actualización"
UPDATE_CONFIRM,"Actualizar"
UPDATE_CANCEL,"Luego"
UPDATE_TEXT_AVAILABLE,"¡Nueva versión disponible de Skylanders Cloud Patrol!"
UPDATE_TEXT_REQUIRED,"Hay una nueva versión de Skylanders Cloud Patrol. ¡Actualiza el juego!"
GENERIC_CONNECTING,"Conectando"
GAMECIRCLE_CANNOTCONNECT,"No hay conexión con Amazon GameCircle"
SHOWDOWNS_LOGININGAMEPROMPT,"Sal e inicia sesión en ACTIVATE para disputar batallas."
MOTD,"¡Bienvenido a Skylanders Cloud Patrol!"
MAGIC_ITEM_CONSUMABLE_MAXED,"¡Ya has comprado el máximo!"
BADGE_UPGRADE,"¡Insignia oro!"
SHOWDOWN_ATTEMPT_FINISHED_BEST,"Intento finalizado.
Mejor: {0}"
SHOWDOWN_BEST_OFF,"Mejor: faltan {0}"
SHOWDOWN_CURRENT_OFF,"Actual: faltan {0}"
ACTIVATE_IMPORT_FINISHED,"¡Bienvenido a ACTIVATE!"
PORTALUI_CANNOTFIND,"No se encuentra el Portal de Poder Bluetooth..."
GENERIC_CLAIM,"Coger"
MAGIC_ITEM_UPGRADE_BUTTON_MAX,"Máx."
ACTIVATE_ONLINE_NOTIFICATION,"Online como {0}"
ACTIVATE_OFFLINE_NOTIFICATION,"Offline como {0}"
ACTIVATE_FIRST_LOGIN_THANKS_TEXT,"Gracias por registrarte. ¡Toma {0} gemas!"
ACTIVATE_FIRST_LOGIN_THANKS_TITLE,"Recompensa de ACTIVATE"
TIME_DAY,"Día"
TIME_DAYS,"Días"
TIME_HOUR,"Hora"
TIME_HOURS,"Horas"
TIME_MINUTE,"Minuto"
TIME_MINUTES,"Minutos"
TIME_SECOND,"Segundo"
TIME_SECONDS,"Segundos"
TIME_DAY_ABBREV,"d"
TIME_HOUR_ABBREV,"h"
TIME_MINUTE_ABBREV,"m"
TIME_SECOND_ABBREV,"s"
TIME_NOW,"Ahora"
MIGRATESAVE_HEADING,"CONFIG. CUENTA"
MIGRATESAVE_EXPLANATION,"¿Quieres transferir las compras y el progreso en Cloud Patrol de este dispositivo a tu nueva cuenta ACTIVATE?"
MIGRATESAVE_DISCLAIMER,"Di "NO" solo si prefieres transferir el progreso de este dispositivo a una cuenta ACTIVATE diferente en el futuro. ¡La transferencia solo se puede hacer una vez!"
MIGRATESAVE_ONLYONCE,"¡La transferencia solo se puede hacer una vez!"
CLOUDCONFLICT_HEADING,"Elige una partida guardada"
CLOUDCONFLICT_EXPLANATION,"Se han hallado varios datos guardados vinculados a tu cuenta de ACTIVATE.
Elige qué partida guardada quieres usar."
CLOUDCONFLICT_RECOMMENDED,"Recomendado"
CLOUDCONFLICT_NOTSURE,"¡No estoy seguro!"
CLOUDCONFLICT_MOREINFO,"(más información)"
GENERIC_CHOOSE,"Elegir"
GENERIC_OR,"O"
CHALLENGE_MESSAGE_SEND,"Enviar"
CHALLENGE_MESSAGE_CANCEL,"Cancelar"
GIANTS_COMING_SOON,"¡Próximamente, Giants!"
ACTIVATE_NOTIFICATION_LOGGED_OFF,"Sesión cerrada"
SHOWDOWN_STATUS_TIME_REMAINING,"Faltan: {0}"
SHOWDOWN_STATUS_TIME_CURRENT,"Tiempo: {0}"
SHOWDOWN_NOTIFICATION_CLOSED,"La batalla ha terminado."
SHOWDOWN_NOTIFICATION_CLOSED_REWARD,"La batalla ha terminado. ¡Busca la recompensa!"
PORTALUI_BLUETOOTH_ENABLED,"¿Bluetooth activado?"
SS_LEGENDARY_TEXT,"Legendario"
TAG_COMING_SOON,"¡Próximamente!"
WANTED_POSTER_TITLE,"SE BUSCA"
BADGE_LEVEL,"NIVEL"
L_JETVAC_UPGRADE_NAME,"Ataque vacío legendario"
L_JETVAC_UPGRADE_DESCRIPTION,"Más opciones de multiplicadores en la fábrica de objetos mágicos."
CHILL_UPGRADE_NAME,"Defensa invernal"
CHILL_UPGRADE_DESCRIPTION,"Escudo se genera más veces"
L_CHILL_UPGRADE_NAME,"Defensor diligente"
L_CHILL_UPGRADE_DESCRIPTION,"Escudo funciona dos veces seguidas"
SPROCKET_UPGRADE_NAME,"Energía alada"
SPROCKET_UPGRADE_DESCRIPTION,"Libélula se genera más veces"
L_IGNITOR_UPGRADE_NAME,"Arsenal legendario"
L_IGNITOR_UPGRADE_DESCRIPTION,"Espadas fantasma aparece a menudo"
SWARM_UPGRADE_NAME,"Barrera de avispones"
SWARM_UPGRADE_DESCRIPTION,"Frena bombas de púas y proyectiles"
BOUNCER_UPGRADE_NAME,"Francotirador"
BOUNCER_UPGRADE_DESCRIPTION,"Tocar y disparar da 2x mon. de combo"
L_BOUNCER_UPGRADE_NAME,"Francotirador legendario"
L_BOUNCER_UPGRADE_DESCRIPTION,"Tocar y disparar da 3x mon. de combo"
HOTDOG_UPGRADE_NAME,"Catalizador canino"
HOTDOG_UPGRADE_DESCRIPTION,"Lo destruido con barriles explosivos da monedas de fuego"
HOTHEAD_UPGRADE_NAME,"Pirómano"
HOTHEAD_UPGRADE_DESCRIPTION,"Los barriles se vuelven explosivos"
FRIGHTRIDER_UPGRADE_NAME,"Reacción terrorífica"
FRIGHTRIDER_UPGRADE_DESCRIPTION,"Los trols magos explotan al ser vencidos"
CRUSHER_UPGRADE_NAME,"Terremoto"
CRUSHER_UPGRADE_DESCRIPTION,"Las monedas de maxicombo destruyen rocas y bombas"
L_STEALTH_ELF_UPGRADE_NAME,"Superactivo"
L_STEALTH_ELF_UPGRADE_DESCRIPTION,"¡Tira con hipervelocidad!"
NINJINI_UPGRADE_NAME,"Confusión cósmica"
NINJINI_UPGRADE_DESCRIPTION,"Los magos empiezan mareados y siguen así"
FLASHWING_UPGRADE_NAME,"Rompeescudos"
FLASHWING_UPGRADE_DESCRIPTION,"Libélula dispara escudos de púas y bombas"
SHROOM_BOOM_UPGRADE_NAME,"Champiñón vital"
SHROOM_BOOM_UPGRADE_DESCRIPTION,"Un uso más de Elixir salud con la compra de monedas"
TREEREX_UPGRADE_NAME,"Amigo carpintero"
TREEREX_UPGRADE_DESCRIPTION,"Libélula se vuelve pájaro carpintero y cambia monedas por bombas"
EYEBRAWL_UPGRADE_NAME,"Amigo ojo"
EYEBRAWL_UPGRADE_DESCRIPTION,"Libélula se convierte en ojo y dispara proyectiles además de bombas"
L_SLAMBAM_UPGRADE_NAME,"Fiesta de bonos"
