Loc Tag,"French"
BONUS_POOR,"Faible"
LOADOUT_EOTD_COIN_BONUS,"Bonus de pièces !"
GAME_CONTINUE,"Continuer ?"
GOAL_REMAINING_TEXT,"de plus."
AWARD_COINS_EOTD,"Élément du jour"
AWARD_COINS_MATCH,"MATCH"
AWARD_COINS_SKYLANDERS_PLURAL,"{0} Skylanders"
AWARD_COINS_SKYLANDERS_SINGLE,"{0} Skylander"
AWARD_GEMS_SINGLE,"Tu as trouvé une gemme"
AWARD_GEMS_PLURAL,"Tu as trouvé {0} gemmes"
TAB_SHOWDOWNS,"Défis"
SHOWDOWN_MEDAL_AWARD_HEADER,"MÉDAILLE DÉFI ATTRIBUÉE"
SHOWDOWN_ADD_FRIENDS_HELP_OPEN,"Touche ce bouton pour ajouter des amis ACTIVATE o Facebook.

N'oublie pas que tu gagnes {0} pièces pour chacun des amis que tu as battu quand le Défi sera terminé, dans {1} !"
SHOWDOWN_ADD_FRIENDS_HELP_CLOSED,"Touche ce bouton pour ajouter des amis ACTIVATE ou Facebook qui joueront à Défi avec toi"
SHOWDOWN_FRIENDS_DEFEATED,"{0} amis vaincus"
SHOWDOWN_STATE_AWARDED,"Attribué"
SHOWDOWN_STATE_UPDATING,"Mise à jour"
SHOWDOWN_STATE_CLOSED,"Fermé"
SHOWDOWN_LEADERBOARD_NO_SCORE,"Aucun score"
SHOWDOWN_LIST_REFRESHING,"Réactualisation des Défis"
SHOWDOWN_LIST_NO_SHOWDOWNS_JOINED,"Aucun Défi rejoint"
SHOWDOWN_LIST_NO_SHOWDOWNS_FOUND,"Aucun Défi disponible"
SHOWDOWN_CHAMPION,"Champion :
{0}"
SHOWDOWN_X_OF_Y_FRIENDS,"#{0} sur {1} amis"
SHOWDOWN_FRIEND_PLAYING_SINGLE,"{0} ami joue"
SHOWDOWN_FRIEND_PLAYING_PLURAL,"{0} amis jouent"
SHOWDOWN_FRIEND_PLAYED_SINGLE,"{0} ami a joué"
SHOWDOWN_FRIEND_PLAYED_PLURAL,"{0} amis ont joué"
SHOWDOWN_BUTTON_STOP,"Stop"
SHOWDOWN_BUTTON_STOP_CONFIRM,"Appuie à nouveau"
SHOWDOWN_COLLECT_ERROR,"Impossible de collecter cette récompense pour l'instant.
Réessaie plus tard."
SHOWDOWN_JOIN_ERROR,"Impossible de rejoindre ce défi.
Réessaie plus tard."
SHOWDOWN_TIME_REMAINING,"Terminé dans {0}"
SHOWDOWN_CLOSE_TIME,"Terminé
{0}/{1}"
SHOWDOWN_REWARD_FRIENDS_DEFEATED,"Amis vaincus"
SHOWDOWN_REWARD_BREAKDOWN_TITLE,"Récompenses"
SHOWDOWN_NO_SCORE_POSTED,"Aucun score diffusé lors du Défi"
SHOWDOWN_DETAILS_UPDATING,"Mise à jour des détails"
SHOWDOWN_DETAILS_ADD_FRIENDS_TEXT,"Appuie sur ce bouton pour ajouter des amis ACTIVATE qui joueront à Défi avec toi.

N'oublie pas que chaque ami que tu bats te rapporte une grosse récompense en pièces !"
SHOWDOWN_MESSAGE_OPEN_SCORE,"Viens jouer à {0} avec moi ! Allez !"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE,"Essaie faire mieux que {0} {1} dans {2} !"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE_TIME,"Essaie faire mieux que {0} dans {1} !"
SHOWDOWN_MESSAGE_CLOSED_SCORE,"J'ai fait {0} {1} dans {2} ! Joue avec moi la prochaine fois !"
SHOWDOWN_MESSAGE_CLOSED_NO_SCORE,"La prochaine fois, on devrait participer à {0} !"
SHOWDOWN_MESSAGE_JOINED_GAINING,"Je me rapproche de toi dans {0} avec {1} {2} ! Attention !"
SHOWDOWN_MESSAGE_JOINED_CAN_YOU_BEAT,"Tu penses pouvoir faire mieux que {0} {1} dans {2} ?"
SHOWDOWN_MESSAGE_JOINED_PREPARE,"Prépare-toi, j'arrive dans {0}. C'est tout."
SHOWDOWN_MESSAGE_JOINED_ALMOST_BEAT,"Je t'ai presque battu dans {0} avec {1} {2} ! Attention la prochaine fois !"
SHOWDOWN_MESSAGE_JOINED_BEAT,"Je t'ai battu avec {0} {1} dans {2}. Merci pour les pièces !"
SHOWDOWN_MESSAGE_JOINED_NICE_JOB,"Eh, bien joué, {0} {1} dans {2} !"
SHOWDOWN_LOCAL_NOTIFICATION_MESSAGE,"Le Défi {0} est terminé. Reviens voir si tu as gagné une récompense !"
SHOWDOWN_NOTIFICATION_NEWBESTTIME,"Nouveau meilleur temps !
{0}!"
SHOWDOWN_NOTIFICATION_NEWHIGHSCORE,"Nouveau meilleur score !
{0}!"
SHOWDOWN_NOTIFICATION_ATTEMPTCOMPLETED,"Essai terminé !
{0}"
LEADERBOARD_TAB_LOADING,"Chargement des classements"
SHOWDOWN_DETAILS_TITLE,"Détails du Défi"
LEADERBOARD_TAB_NOT_CONNECTED,"Aucune connexion Internet détectée. Vérifie que tu es connecté à Internet pour voir les classements."
LEADERBOARD_TAB_ERROR,"Impossible de charger les classements"
RATE_APP_DIALOG_OK,"OK"
RATE_APP_DIALOG_LATER,"Plus tard"
RATE_APP_DIALOG_NO,"Non merci"
TOY_LINK_STATUS_CONNECTING,"Connexion..."
TOY_LINK_STATUS_CHECKING,"Vérification..."
TOY_LINK_STATUS_UNLOCKING,"Déblocage..."
TOYLINK_ERROR_MISSING_DIGITS,"Ce code n'est pas assez long. N'as-tu pas oublié un chiffre ?"
TOYLINK_ERROR_TOO_MANY_UNLOCKS,"Ce code à usage unique a déjà été utilisé."
TOYLINK_ERROR_TIMEOUT,"Connexion au serveur impossible. Vérifie que tu es en ligne."
TOYLINK_ERROR_TITLE_TRY_AGAIN,"Réessayer"
TOYLINK_ERROR_UNEXPECTED_ERROR,"Erreur inattendue lors de la vérification du code."
TOYLINK_ERROR_NO_BEDROCK,"Connexion au serveur impossible. Vérifie que tu es en ligne."
ACTIVATE_PLEASE_WAIT,"Merci de patienter..."
ACTIVATE_SYNCING,"Synchronisation de la progression..."
ROYALDOUBLETROUBLE_UPGRADE_DESCRIPTION,"Double bonus pour vider les repaires."
POPFIZZ_UPGRADE_DESCRIPTION,"Transperce les boucliers."
JETVAC_UPGRADE_DESCRIPTION,"Plus de chances d'avoir un multiplicateur à l'usine d'objets magiques."
ROYALDOUBLETROUBLE_UPGRADE_NAME,"Fromage bonus"
POPFIZZ_UPGRADE_NAME,"Méli mélo"
JETVAC_UPGRADE_NAME,"Vac attaque"
ANVILRAIN_NAME,"Enclume"
ANVILRAIN_LOCKEDDESCRIPTION,"Fais pleuvoir la destruction sur les Trolls en larguant des enclumes sur eux !"
ANVILRAIN_DESCRIPTION_LEVEL_1,"3 enclumes tombent sur les Trolls. Multiplicateur 100x."
ANVILRAIN_DESCRIPTION_LEVEL_2,"4 enclumes tombent sur les Trolls. Multiplicateur 150x."
ANVILRAIN_DESCRIPTION_LEVEL_3,"6 enclumes tombent sur les Trolls. Multiplicateur 200x."
ANVILRAIN_DESCRIPTION_LEVEL_4,"8 enclumes tombent sur les Trolls. Multiplicateur 250x."
ANVILRAIN_DESCRIPTION_LEVEL_5,"10 enclumes tombent sur les Trolls. Multiplicateur 300x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_1,"La destruction s'abat sur 4 Trolls. Multiplicateur 150x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_2,"La destruction s'abat sur 6 Trolls. Multiplicateur 200x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_3,"La destruction s'abat sur 8 Trolls. Multiplicateur 250x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_4,"La destruction s'abat sur 10 Trolls. Multiplicateur 300x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_5,"Enclume est au niveau max !"
GHOSTSWORDS_NAME,"Épée pirate"
GHOSTSWORDS_LOCKEDDESCRIPTION,"Manie l'Épée pirate pour vaincre rapidement tes ennemis et marquer des points supplémentaires à chaque coup."
GHOSTSWORDS_DESCRIPTION_LEVEL_1,"Détruit les ennemis et les projectiles. Bonus 25x."
GHOSTSWORDS_DESCRIPTION_LEVEL_2,"Détruit les ennemis et les projectiles. Bonus 50x."
GHOSTSWORDS_DESCRIPTION_LEVEL_3,"Détruit les ennemis et les projectiles. Bonus 75x."
GHOSTSWORDS_DESCRIPTION_LEVEL_4,"Détruit les ennemis et les projectiles. Bonus 100x."
GHOSTSWORDS_DESCRIPTION_LEVEL_5,"Détruit les ennemis et les projectiles. Bonus 125x."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_1,"Améliore pour un bonus 50x et une durée d'effet étendue."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_2,"Améliore pour un bonus 75x et une durée d'effet étendue."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_3,"Améliore pour un bonus 100x et une durée d'effet étendue."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_4,"Améliore pour un bonus 125x et une durée d'effet étendue."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_5,"Niveau max"
HEALINGELIXIR_NAME,"Élixir"
HEALINGELIXIR_LOCKEDDESCRIPTION,"Dépense des pièces pour continuer à voler et avoir une deuxième chance !"
HEALINGELIXIR_DESCRIPTION_LEVEL_1,"Échange des pièces pour une deuxième chance"
HEALINGELIXIR_DESCRIPTION_LEVEL_2,"Échange 10% de pièces en moins pour une deuxième chance"
HEALINGELIXIR_DESCRIPTION_LEVEL_3,"Échange 20% de pièces en moins pour une deuxième chance"
HEALINGELIXIR_DESCRIPTION_LEVEL_4,"Échange 30% de pièces en moins pour une deuxième chance"
HEALINGELIXIR_DESCRIPTION_LEVEL_5,"Échange 40% de pièces en moins pour une deuxième chance"
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_1,"Coût réduit de 10%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_2,"Coût réduit de 20%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_3,"Coût réduit de 30%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_4,"Coût réduit de 40%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_5,"Niveau max"
WINGEDBOOTS_NAME,"Botte ailée"
WINGEDBOOTS_LOCKEDDESCRIPTION,"Téléporte ton vaisseau plusieurs zones plus loin."
WINGEDBOOTS_DESCRIPTION_LEVEL_1,"Traverse 3 zones."
WINGEDBOOTS_DESCRIPTION_LEVEL_2,"Traverse 4 zones."
WINGEDBOOTS_DESCRIPTION_LEVEL_3,"Traverse 5 zones."
WINGEDBOOTS_DESCRIPTION_LEVEL_4,"Traverse 6 zones."
WINGEDBOOTS_DESCRIPTION_LEVEL_5,"Traverse 7 zones."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_1,"Augmente la distance à 4 zones."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_2,"Augmente la distance à 5 zones."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_3,"Augmente la distance à 6 zones."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_4,"Augmente la distance à 7 zones."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_5,"Niveau max"
SPARX_NAME,"Sparx"
SPARX_LOCKEDDESCRIPTION,"Recrute Sparx pour détruire les bombes sur ton chemin !"
SPARX_DESCRIPTION_LEVEL_1,"Détruit 6 bombes automatiquement. Multiplicateur 2x."
SPARX_DESCRIPTION_LEVEL_2,"Détruit 8 bombes automatiquement. Multiplicateur 3x."
SPARX_DESCRIPTION_LEVEL_3,"Détruit 10 bombes automatiquement. Multiplicateur 4x."
SPARX_DESCRIPTION_LEVEL_4,"Détruit 12 bombes automatiquement. Multiplicateur 5x."
SPARX_DESCRIPTION_LEVEL_5,"Détruit 14 bombes automatiquement. Multiplicateur 6x."
SPARX_UPGRADEDESCRIPTION_LEVEL_1,"Détruis 8 bombes et ajoute un multiplicateur 3x."
SPARX_UPGRADEDESCRIPTION_LEVEL_2,"Détruis 10 bombes et ajoute un multiplicateur 4x."
SPARX_UPGRADEDESCRIPTION_LEVEL_3,"Détruis 12 bombes et ajoute un multiplicateur 5x."
SPARX_UPGRADEDESCRIPTION_LEVEL_4,"Détruis 14 bombes et ajoute un multiplicateur 6x."
SPARX_UPGRADEDESCRIPTION_LEVEL_5,"Niveau max"
TIMETWISTER_NAME,"Sablier"
TIMETWISTER_LOCKEDDESCRIPTION,"Ralentis le temps pour viser avec précision et réaliser de plus grands enchaînements !"
TIMETWISTER_DESCRIPTION_LEVEL_1,"Ralentit le temps quand tu vises. Multiplicateur 2x."
TIMETWISTER_DESCRIPTION_LEVEL_2,"Ralentit le temps quand tu vises. Multiplicateur 3x."
TIMETWISTER_DESCRIPTION_LEVEL_3,"Ralentit le temps quand tu vises. Multiplicateur 4x."
TIMETWISTER_DESCRIPTION_LEVEL_4,"Ralentit le temps quand tu vises. Multiplicateur 5x."
TIMETWISTER_DESCRIPTION_LEVEL_5,"Ralentit le temps quand tu vises. Multiplicateur 6x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_1,"Augmente la durée d'effet et ajoute un multiplicateur 3x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_2,"Augmente la durée d'effet et ajoute un multiplicateur 4x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_3,"Augmente la durée d'effet et ajoute un multiplicateur 5x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_4,"Augmente la durée d'effet et ajoute un multiplicateur 6x."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_5,"Niveau max"
HIDDENTREASURE_NAME,"COFFRE"
HIDDENTREASURE_LOCKEDDESCRIPTION,"Collecte automatiquement les pièces et crée une pièce combo pour chaque niveau de combo !"
HIDDENTREASURE_DESCRIPTION_LEVEL_1,"Collecte automatiquement les pièces et crée plus de pièces combo. Multiplicateur 2x."
HIDDENTREASURE_DESCRIPTION_LEVEL_2,"Collecte automatiquement les pièces et crée plus de pièces combo. Multiplicateur 3x."
HIDDENTREASURE_DESCRIPTION_LEVEL_3,"Collecte automatiquement les pièces et crée plus de pièces combo. Multiplicateur 4x."
HIDDENTREASURE_DESCRIPTION_LEVEL_4,"Collecte automatiquement les pièces et crée plus de pièces combo. Multiplicateur 5x."
HIDDENTREASURE_DESCRIPTION_LEVEL_5,"Collecte automatiquement les pièces et crée plus de pièces combo. Multiplicateur 6x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_1,"Augmente la durée d'effet et ajoute un multiplicateur 3x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_2,"Augmente la durée d'effet et ajoute un multiplicateur 4x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_3,"Augmente la durée d'effet et ajoute un multiplicateur 5x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_4,"Augmente la durée d'effet et ajoute un multiplicateur 6x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_5,"Niveau max"
SKYIRONSHIELD_NAME,"Bouclier"
SKYIRONSHIELD_LOCKEDDESCRIPTION,"Marque beaucoup de points en touchant les bombes et deviens invincible !"
SKYIRONSHIELD_DESCRIPTION_LEVEL_1,"Invulnérable aux dégâts tant qu'il est actif. Multiplicateur 6x."
SKYIRONSHIELD_DESCRIPTION_LEVEL_2,"Invulnérable aux dégâts tant qu'il est actif. Multiplicateur 7x."
SKYIRONSHIELD_DESCRIPTION_LEVEL_3,"Invulnérable aux dégâts tant qu'il est actif. Multiplicateur 8x."
SKYIRONSHIELD_DESCRIPTION_LEVEL_4,"Invulnérable aux dégâts tant qu'il est actif. Multiplicateur 9x."
SKYIRONSHIELD_DESCRIPTION_LEVEL_5,"Invulnérable aux dégâts tant qu'il est actif. Multiplicateur 10x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_1,"Augmente la durée d'effet et ajoute un multiplicateur 7x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_2,"Augmente la durée d'effet et ajoute un multiplicateur 8x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_3,"Augmente la durée d'effet et ajoute un multiplicateur 9x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_4,"Augmente la durée d'effet et ajoute un multiplicateur 10x."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_5,"Niveau max"
EXTRAMAGICITEMSLOT_NAME,"Emplacement d'objet magique"
EXTRAMAGICITEMSLOT_LOCKEDDESCRIPTION,"Collecte et garde deux objets magiques en même temps !"
EXTRAMAGICITEMSLOT_DESCRIPTION_LEVEL_1,"Collecte et garde deux objets magiques en même temps !"
EXTRAMAGICITEMSLOT_UPGRADEDESCRIPTION_LEVEL_1,"Tu ne peux pas améliorer cet objet."
ROCKETBOOSTER_NAME,"Réacteur"
ROCKETBOOSTER_LOCKEDDESCRIPTION,"Échange des pièces pour avancer d'une distance aléatoire et gagner un multiplicateur jusqu'à 10x."
ROCKETBOOSTER_DESCRIPTION_LEVEL_1,"Échange des pièces pour avancer d'une distance aléatoire et gagner un multiplicateur jusqu'à 10x."
ROCKETBOOSTER_UPGRADEDESCRIPTION_LEVEL_1,"Tu ne peux pas améliorer cet objet."
SCOREMULTIPLIER_2_NAME,"Multiplicateur de score"
SCOREMULTIPLIER_5_NAME,"Multiplicateur de score"
SCOREMULTIPLIER_10_NAME,"Multiplicateur de score"
SCOREMULTIPLIER_25_NAME,"Multiplicateur de score"
SCOREMULTIPLIER_50_NAME,"Multiplicateur de score"
WILDCARD_NAME,"Usine d'objets magiques"
WILDCARD_LOCKEDDESCRIPTION,"Crée des objets magiques quand tu veux ! Il choisit aléatoirement parmi les objets achetés, les multiplicateurs, les gemmes et bien plus !"
WILDCARD_UPGRADEDESCRIPTION_LEVEL_1,"Chaque achat autorise 10 utilisations."
ACTIVATESELL_TITLE,"JOUE EN LIGNE"
ACTIVATESELL_FACEBOOK_TITLE,"CONNEXION FACEBOOK FACILE"
ACTIVATESELL_FACEBOOK_TEXT,"SUPER RAPIDE ! DEUX MINUTES AU PLUS"
ACTIVATESELL_CLOUDSAVE_TITLE,"SAUVEGARDE CLOUD"
ACTIVATESELL_CLOUDSAVE_TEXT,"CONSERVE TES SKYLANDERS ET TES PROGRÈS SUR TOUS TES PÉRIPHÉRIQUES"
ACTIVATESELL_SHOWDOWNS_TITLE,"DÉFIS"
ACTIVATESELL_SHOWDOWNS_TEXT,"AFFRONTE TES AMIS DANS DES DÉFIS UNIQUES"
SHOWDOWNSELL_TITLE,"Rejoindre un défi !"
SHOWDOWNSELL_DESCRIPTION,"À la fin d'un Défi, tu gagnes des pièces pour chaque ami que tu as battu !"
SHOWDOWNSELL_FACEBOOK,"Diffuse ton activité dans les Défis sur Facebook pour pousser tes amis à te rejoindre."
PORTALUI_PORTALON,"Est-il allumé ?"
PORTALUI_PAIRED,"Est-il associé à ce périphérique ?"
PORTALUI_BATTERIES,"Les piles sont-elles faibles ?"
PORTALUI_PLACETOY,"Merci de placer {0} sur le portail magique Bluetooth."
PORTALUI_WRONGTOY,"Ce n'est pas : {0} ! "
SHOWDOWNS_SIGNINPROMPT_TEXT,"Participe à des Défis en ligne pour gagner des tas de pièces !"
SHOWDOWNS_SIGNINPROMPT_LEARNMORE,"PLUS D'INFOS !"
MAGIC_ITEM_SCREEN_BUY_COINS,"Acheter {0} pièces pour {1} gemmes ?"
MAGIC_ITEM_USES_FOR_CONSUMABLES,"{0} charges"
MAGIC_ITEM_EMPTY_CONSUMABLE,"Vide !"
CUTSCENE_DISTANCE_BONUS,"Bonus de distance"
SHOWDOWN_NONETWORK_ERROR,"Désolé, connexion à ACTIVATE pour afficher les Défis impossible.

Merci de vérifier l'état de la connexion au réseau."
PORTALUI_TOOMANYTOYS,"Il ne faut placer qu'un seul jouet à la fois sur le portail magique Bluetooth."
PORTALUI_LINKTOYQUESTION,"Sauvegarder de façon permanente ce jouet dans ton compte ACTIVATE ? "
PORTALUI_TOYLIMITEXPLANATION,"Chaque jouet ne peut être sauvegardé que sur un seul compte ACTIVATE."
PORTALUI_TOYGEMREWARDLIMIT,"(Connexion Internet requise)"
GEM_NAME,"Gemme"
SHOWDOWN_SELL_TEXT,"Tu peux participer à ces compétitions amusantes seul ou avec des amis. Rejoins le défi, et quand il prend fin, collecte ta récompense !"
SHOWDOWN_SELL_TITLE,"DÉFIS ?"
ELEMENT_AIR,"Air"
ELEMENT_FIRE,"Feu"
ELEMENT_EARTH,"Terre"
ELEMENT_WATER,"Eau"
ELEMENT_UNDEAD,"Mort-vivant"
ELEMENT_TECH,"Tech"
ELEMENT_LIFE,"Vie"
ELEMENT_MAGIC,"Magie"
CREDITS_TITLE,"Crédits"
HELP_TITLE,"Options d'aide"
STOREHUB_TITLE,"Collection"
LOCALNOTIFICATION_EOTD_MATCH,"Correspondance avec l'élément du jour ! Utilise {0} pour un bonus de pièces aujourd'hui !"
GAMECENTER_DISABLED,"Game Center désactivé"
GAMECENTER_REENABLE,"Réactive le Game Center en te connectant à l'application Game Center."
GENERIC_CONFIRM,"OK"
GAMECENTER_UNAVAILABLE,"Game Center indisponible"
GAMECENTER_CHECKSETTINGS,"Merci de vérifier les paramètres du Game Center et l'état de la connexion à Internet."
GAMECIRCLE_UNAVAILABLE,"GameCircle indisponible"
GAMECIRCLE_CHECKSETTINGS,"Merci de vérifier les paramètres et l'état de la connexion à Internet."
GAMECENTER_CONNECTING,"Connexion au Game Center"
GAMECIRCLE_CONNECTING,"Connexion à l'Amazon GameCircle"
GENERIC_UNABLETOCONNECT,"Connexion impossible"
GAMECENTER_INTERNETREQUIRED,"Une connexion Internet active est nécessaire pour accéder au Game Center."
GAMECENTER_CANNOTCONNECT,"Impossible de se connecter au Game Center"
GEMPURCHASE_ERRORTITLE,"Achat de gemmes"
GEMPURCHASE_INTERNETREQUIRED,"Un réseau WiFi ou Mobile est requis pour acheter des gemmes."
GEMPURCHASE_INAPP_RESTRICTION_TEXT,"Ce périphérique n'est pas autorisé à effectuer des achats iTunes depuis les applications."
GEMPURCHASE_INAPP_RESTRICTION_TITLE,"Restriction dans les applications"
GEMPURCHASE_PURCHASING,"Achat de gemmes"
GEMPURCHASE_LOADINGPRODUCTS,"Chargement des produits"
GEMPURCHASE_CANNOTCONNECTTOSTORE,"Connexion à l'iTunes Store impossible"
GENERIC_GOBACK,"Retour"
GEMPURCHASE_PURCHASED,"Gemmes achetées"
GEMPURCHASE_SUCCEEDED,"L'achat de gemmes est terminé !"
GEMPURCHASE_FAILED_TITLE,"Échec de l'achat"
GEMPURCHASE_FAILED_TEXT,"Nous ne sommes pas parvenus à finaliser l'achat de gemmes."
FAQ_INTERNETREQUIRED,"Une connexion Internet est requise pour accéder à la FAQ."
MAIL_UNABLETOSEND_TITLE,"Impossible d'envoyer le message"
MAIL_UNABLETOSEND_TEXT,"Merci de vérifier la connexion au réseau et la configuration du client de messagerie"
UPDATE_REQUIRED,"Mise à jour requise"
UPDATE_AVAILABLE,"Mise à jour disponible"
UPDATE_CONFIRM,"Mettre à jour maintenant"
UPDATE_CANCEL,"Plus tard"
UPDATE_TEXT_AVAILABLE,"Une nouvelle version de Skylanders Cloud Patrol est disponible !"
UPDATE_TEXT_REQUIRED,"Une nouvelle version de Skylanders Cloud Patrol est disponible. Une mise à jour est nécessaire."
GENERIC_CONNECTING,"Connexion"
GAMECIRCLE_CANNOTCONNECT,"Connexion à l'Amazon GameCircle"
SHOWDOWNS_LOGININGAMEPROMPT,"Pour participer aux défis, quitte le jeu et inscris-toi sur ACTIVATE."
MOTD,"Bienvenue dans Skylanders Cloud Patrol !"
MAGIC_ITEM_CONSUMABLE_MAXED,"Impossible d'en acheter plus !"
BADGE_UPGRADE,"Badge d'or !"
SHOWDOWN_ATTEMPT_FINISHED_BEST,"Essai terminé.
Record : {0}"
SHOWDOWN_BEST_OFF,"Record : {0} non"
SHOWDOWN_CURRENT_OFF,"Actuel : {0} non"
ACTIVATE_IMPORT_FINISHED,"Bienvenue dans ACTIVATE !"
PORTALUI_CANNOTFIND,"Portail magique Bluetooth introuvable..."
GENERIC_CLAIM,"Valider"
MAGIC_ITEM_UPGRADE_BUTTON_MAX,"Max"
ACTIVATE_ONLINE_NOTIFICATION,"En ligne : {0}"
ACTIVATE_OFFLINE_NOTIFICATION,"**Hors-ligne** : {0}"
ACTIVATE_FIRST_LOGIN_THANKS_TEXT,"Merci pour cette inscription. Voici {0} gemmes !"
ACTIVATE_FIRST_LOGIN_THANKS_TITLE,"Récompense ACTIVATE"
TIME_DAY,"jour"
TIME_DAYS,"jours"
TIME_HOUR,"heure"
TIME_HOURS,"heures"
TIME_MINUTE,"minute"
TIME_MINUTES,"minutes"
TIME_SECOND,"seconde"
TIME_SECONDS,"secondes"
TIME_DAY_ABBREV,"j"
TIME_HOUR_ABBREV,"h"
TIME_MINUTE_ABBREV,"m"
TIME_SECOND_ABBREV,"s"
TIME_NOW,"Maintenant"
MIGRATESAVE_HEADING,"CONFIGURATION COMPTE"
MIGRATESAVE_EXPLANATION,"D'accord pour transférer les progrès et achats Cloud Patrol du périphérique existant vers le nouveau compte ACTIVATE ?"
MIGRATESAVE_DISCLAIMER,"Réponds "NON" uniquement si tu veux transférer les progrès enregistrés dans ce périphérique vers un autre compte ACTIVATE à l'avenir. Le transfert ne peut avoir lieu qu'une fois !"
MIGRATESAVE_ONLYONCE,"Le transfert ne peut avoir lieu qu'une fois !"
CLOUDCONFLICT_HEADING,"Choisis une sauvegarde"
CLOUDCONFLICT_EXPLANATION,"Plusieurs fichiers de sauvegarde sont associés à ce compte ACTIVATE.
Merci de choisir la sauvegarde à utiliser."
CLOUDCONFLICT_RECOMMENDED,"Recommandé"
CLOUDCONFLICT_NOTSURE,"Je ne sais pas !"
CLOUDCONFLICT_MOREINFO,"(plus d'infos svp)"
GENERIC_CHOOSE,"Choisis"
GENERIC_OR,"OU"
CHALLENGE_MESSAGE_SEND,"Envoyer"
CHALLENGE_MESSAGE_CANCEL,"Annuler"
GIANTS_COMING_SOON,"Les Géants arrivent !"
ACTIVATE_NOTIFICATION_LOGGED_OFF,"Déconnecté"
SHOWDOWN_STATUS_TIME_REMAINING,"Reste : {0}"
SHOWDOWN_STATUS_TIME_CURRENT,"Temps : {0}"
SHOWDOWN_NOTIFICATION_CLOSED,"Défi terminé."
SHOWDOWN_NOTIFICATION_CLOSED_REWARD,"Le défi est terminé. Regarde si tu as gagné une récompense !"
PORTALUI_BLUETOOTH_ENABLED,"La fonction Bluetooth est-elle activée ?"
SS_LEGENDARY_TEXT,"Légendaire"
TAG_COMING_SOON,"Bientôt !"
WANTED_POSTER_TITLE,"RECHERCHÉ"
BADGE_LEVEL,"NIVEAU"
L_JETVAC_UPGRADE_NAME,"Vac attaque légendaire"
L_JETVAC_UPGRADE_DESCRIPTION,"Grande chance d'obtenir des multiplicateurs dans l'usine d'objets magiques"
CHILL_UPGRADE_NAME,"Protection hivernale"
CHILL_UPGRADE_DESCRIPTION,"Le Bouclier apparaît plus souvent"
L_CHILL_UPGRADE_NAME,"Défenseur diligent"
L_CHILL_UPGRADE_DESCRIPTION,"Le Bouclier fonctionne deux fois de suite"
SPROCKET_UPGRADE_NAME,"Branchement de Sparx"
SPROCKET_UPGRADE_DESCRIPTION,"Sparx apparaît plus souvent"
L_IGNITOR_UPGRADE_NAME,"Arsenal légendaire"
L_IGNITOR_UPGRADE_DESCRIPTION,"L'Épée pirate apparaît très souvent"
SWARM_UPGRADE_NAME,"Bulle du bourdon"
SWARM_UPGRADE_DESCRIPTION,"Ralentit les bombes et les projectiles"
BOUNCER_UPGRADE_NAME,"Tireur d'élite"
