Loc Tag,"German"
SD_UPGRADE_CONFIRM,"{0} für {1} Münzen freischalten?"
ZOOK_UPGRADE_DESCRIPTION,"Schatz taucht häufiger auf"
GHOST_ROASTER_UPGRADE_DESCRIPTION,"Zeitwender geht 2x nacheinander"
PRISM_BREAK_UPGRADE_DESCRIPTION,"Sparx zerstört pro Einsatz 5 Bomben mehr"
DINO_RANG_UPGRADE_DESCRIPTION,"Ambossregen geht 2x nacheinander"
FLAMESLINGER_UPGRADE_DESCRIPTION,"Geistschwert geht 2x nacheinander"
ZAP_UPGRADE_DESCRIPTION,"Reise mit Zeitwender starten"
WRECKING_BALL_UPGRADE_DESCRIPTION,"Zeitwender taucht häufiger auf"
DOUBLE_TROUBLE_UPGRADE_DESCRIPTION,"Sparx geht 2x nacheinander"
L_SPYRO_UPGRADE_DESCRIPTION,"Erreiche Gebiet 40 für einen 40x-Bonus"
DRILL_SERGEANT_UPGRADE_DESCRIPTION,"Reise mit Schatz starten"
GEM_REFUND_TITLE,"Stein-Rückgabe!"
GAME_AREAS_CLEAR_SINGULAR,"Gebiet erledigt"
GAME_AREAS_CLEARED_RECORD,"Rekord: {0}"
BONUS_POOR,"Schlecht"
LOADOUT_EOTD_COIN_BONUS,"Münzen-Bonus!"
GAME_CONTINUE,"Weiter?"
GOAL_REMAINING_TEXT,"übrig."
AWARD_COINS_EOTD,"Element des Tages"
AWARD_COINS_MATCH,"TREFFER"
AWARD_COINS_SKYLANDERS_PLURAL,"{0} Skylander"
AWARD_COINS_SKYLANDERS_SINGLE,"{0} Skylander"
AWARD_GEMS_SINGLE,"Stein gefunden"
AWARD_GEMS_PLURAL,"{0} Steine gefunden"
TAB_SHOWDOWNS,"Showdowns"
SHOWDOWN_MEDAL_AWARD_HEADER,"SHOWDOWN-MEDAILLE VERLIEHEN"
SHOWDOWN_ADD_FRIENDS_HELP_OPEN,"Berühre diese Schaltfläche, um ACTIVATE- oder Facebook--Freunde hinzuzufügen.

Denk daran, dass du für jeden besiegten Freund {0} Münzen bekommst, wenn der Showdown in {1} endet!"
SHOWDOWN_ADD_FRIENDS_HELP_CLOSED,"Berühre diese Schaltfläche, um ACTIVATE- oder Facebook-Freunde für Showdowns hinzuzufügen"
SHOWDOWN_FRIENDS_DEFEATED,"{0} Freunde besiegt"
SHOWDOWN_STATE_AWARDED,"Gewonnen"
SHOWDOWN_STATE_UPDATING,"Aktualisieren"
SHOWDOWN_STATE_CLOSED,"Beendet"
SHOWDOWN_LEADERBOARD_NO_SCORE,"Keine Punkte"
SHOWDOWN_LIST_REFRESHING,"Aktualisiert Showdowns"
SHOWDOWN_LIST_NO_SHOWDOWNS_JOINED,"Keinen Showdowns beigetreten"
SHOWDOWN_LIST_NO_SHOWDOWNS_FOUND,"Keine Showdowns verfügbar"
SHOWDOWN_CHAMPION,"Champion:
{0}"
SHOWDOWN_X_OF_Y_FRIENDS,"#{0} von {1} Freunden"
SHOWDOWN_FRIEND_PLAYING_SINGLE,"{0} Freund spielt"
SHOWDOWN_FRIEND_PLAYING_PLURAL,"{0} Freunde spielen"
SHOWDOWN_FRIEND_PLAYED_SINGLE,"{0} Freund spielte"
SHOWDOWN_FRIEND_PLAYED_PLURAL,"{0} Freunde spielten"
SHOWDOWN_BUTTON_STOP,"Stopp"
SHOWDOWN_BUTTON_STOP_CONFIRM,"Erneut drücken"
SHOWDOWN_COLLECT_ERROR,"Belohnung kann zurzeit nicht abgeholt werden.
Bitte versuche es später erneut."
SHOWDOWN_JOIN_ERROR,"Herausforderung kann nicht beigetreten werden.
Bitte versuche es später erneut."
SHOWDOWN_TIME_REMAINING,"Endet in {0}"
SHOWDOWN_CLOSE_TIME,"Beendet
{0}/{1}"
SHOWDOWN_REWARD_FRIENDS_DEFEATED,"Freunde besiegt"
SHOWDOWN_REWARD_BREAKDOWN_TITLE,"Belohnungsübersicht"
SHOWDOWN_NO_SCORE_POSTED,"Keine Punkte beim Showdown eingestellt"
SHOWDOWN_DETAILS_UPDATING,"Aktualisiert Details"
SHOWDOWN_DETAILS_ADD_FRIENDS_TEXT,"Berühre diese Schaltfläche, um ACTIVATE-Freunde für Showdowns hinzuzufügen.

Denk daran, dass du für jeden besiegten Freund Münzen zur Belohnung bekommst!"
SHOWDOWN_MESSAGE_OPEN_SCORE,"Spielen wir zusammen {0}! Na los!"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE,"Versuche, {0} {1} in {2} zu schlagen!"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE_TIME,"Versuche, {0} in {1} zu schlagen!"
SHOWDOWN_MESSAGE_CLOSED_SCORE,"Ich habe {0} {1} in {2} erhalten! Spiel nächstes Mal mit!"
SHOWDOWN_MESSAGE_CLOSED_NO_SCORE,"Nächstes Mal sollten wir dem Wettkampf {0} beitreten!"
SHOWDOWN_MESSAGE_JOINED_GAINING,"Ich überhole dich in {0} mit: {1} {2}! Pass auf!"
SHOWDOWN_MESSAGE_JOINED_CAN_YOU_BEAT,"Glaubst du, du kannst {0} {1} in {2} schlagen?"
SHOWDOWN_MESSAGE_JOINED_PREPARE,"Achtung, Achtung: Ich trete {0} bei. Das ist alles."
SHOWDOWN_MESSAGE_JOINED_ALMOST_BEAT,"Ich hätte dich in {0} mit {1} {2} fast besiegt! Pass nächstes Mal auf!"
SHOWDOWN_MESSAGE_JOINED_BEAT,"Ich habe dich mit {0} {1} in {2} besiegt. Danke für die Münzen!"
SHOWDOWN_MESSAGE_JOINED_NICE_JOB,"Wow, {0} {1} in {2}, klasse!"
SHOWDOWN_LOCAL_NOTIFICATION_MESSAGE,"Der Showdown {0} wurde beendet. Sieh nach, ob du eine Belohnung erhalten hast!"
SHOWDOWN_NOTIFICATION_NEWBESTTIME,"Neue Bestzeit!
{0}!"
SHOWDOWN_NOTIFICATION_NEWHIGHSCORE,"Neuer Highscore!
{0}!"
SHOWDOWN_NOTIFICATION_ATTEMPTCOMPLETED,"Versuch abgeschlossen!
{0}"
LEADERBOARD_TAB_LOADING,"Lädt Bestenlisten"
SHOWDOWN_DETAILS_TITLE,"Showdown-Details"
LEADERBOARD_TAB_NOT_CONNECTED,"Keine Internet-Verbindung gefunden. Vergewissere dich, dass du mit dem Internet verbunden bist, um Bestenlisten-Punkte zu sehen."
LEADERBOARD_TAB_ERROR,"Bestenlisten-Punkte können nicht geladen werden"
RATE_APP_DIALOG_OK,"OK"
RATE_APP_DIALOG_LATER,"Später"
RATE_APP_DIALOG_NO,"Nein danke"
TOY_LINK_STATUS_CONNECTING,"Verbindet ..."
TOY_LINK_STATUS_CHECKING,"Prüft ..."
TOY_LINK_STATUS_UNLOCKING,"Freischalten ..."
TOYLINK_ERROR_MISSING_DIGITS,"Der Code ist nicht lang genug. Fehlen ein paar Zeichen?"
TOYLINK_ERROR_TOO_MANY_UNLOCKS,"Dieser einzigartige Code wurde zu oft verwendet."
TOYLINK_ERROR_TIMEOUT,"Server nicht erreicht. Bitte stelle sicher, dass du online bist."
TOYLINK_ERROR_TITLE_TRY_AGAIN,"Erneut versuchen"
TOYLINK_ERROR_UNEXPECTED_ERROR,"Beim Bestätigen des Codes ist etwas Unerwartetes geschehen."
ACTIVATE_PLEASE_WAIT,"Bitte warten ..."
ACTIVATE_SYNCING,"Synch.-Fortschritt ..."
ROYALDOUBLETROUBLE_UPGRADE_DESCRIPTION,"Doppelter Punkte-Bonus für geräumte Verstecke."
POPFIZZ_UPGRADE_DESCRIPTION,"Schieße durch Schilde!"
JETVAC_UPGRADE_DESCRIPTION,"Bessere Chance auf Multiplikator von magischer Objektfabrik."
ROYALDOUBLETROUBLE_UPGRADE_NAME,"Extra Käse"
POPFIZZ_UPGRADE_NAME,"Sprudel-Zisch"
JETVAC_UPGRADE_NAME,"Vac-Attacke"
ANVILRAIN_NAME,"Ambossregen"
ANVILRAIN_LOCKEDDESCRIPTION,"Greif Trolle von oben an, indem du sie mit Ambossen bombardierst!"
ANVILRAIN_DESCRIPTION_LEVEL_1,"Wirf 3 Ambosse ab, um Trolle zu besiegen. 100x-Punkte-Multiplikator."
ANVILRAIN_DESCRIPTION_LEVEL_2,"Wirf 4 Ambosse ab, um Trolle zu besiegen. 150x-Punkte-Multiplikator."
ANVILRAIN_DESCRIPTION_LEVEL_3,"Wirf 6 Ambosse ab, um Trolle zu besiegen. 200x-Punkte-Multiplikator."
ANVILRAIN_DESCRIPTION_LEVEL_4,"Wirf 8 Ambosse ab, um Trolle zu besiegen. 250x-Punkte-Multiplikator."
ANVILRAIN_DESCRIPTION_LEVEL_5,"Wirf 10 Ambosse ab, um Trolle zu besiegen. 300x-Punkte-Multiplikator."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_1,"Greif 4 Trolle von oben an. 150x-Punkte-Multiplikator"
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_2,"Greif 6 Trolle von oben an. 200x-Punkte-Multiplikator"
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_3,"Greif 8 Trolle von oben an. 250x-Punkte-Multiplikator"
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_4,"Greif 10 Trolle von oben an. 300x-Punkte-Multiplikator"
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_5,"Ambossregen ist auf max. Stufe!"
GHOSTSWORDS_NAME,"Geistschwert"
GHOSTSWORDS_LOCKEDDESCRIPTION,"Zerstöre Gegner mit dem Geistschwert schnell und erhalte für jeden Treffer einen großen Bonus."
GHOSTSWORDS_DESCRIPTION_LEVEL_1,"Zerstöre Gegner und Geschosse. 25x-Punkte-Bonus."
GHOSTSWORDS_DESCRIPTION_LEVEL_2,"Zerstöre Gegner und Geschosse. 50x-Punkte-Bonus."
GHOSTSWORDS_DESCRIPTION_LEVEL_3,"Zerstöre Gegner und Geschosse. 75x-Punkte-Bonus."
GHOSTSWORDS_DESCRIPTION_LEVEL_4,"Zerstöre Gegner und Geschosse. 100x-Punkte-Bonus."
GHOSTSWORDS_DESCRIPTION_LEVEL_5,"Zerstöre Gegner und Geschosse. 125x-Punkte-Bonus."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_1,"Verbessern für 50x-Punkte-Bonus und längere Wirkung"
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_2,"Verbessern für 75x-Punkte-Bonus und längere Wirkung"
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_3,"Verbessern für 100x-Punkte-Bonus und längere Wirkung"
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_4,"Verbessern für 125x-Punkte-Bonus und längere Wirkung"
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_5,"Max. Stufe"
HEALINGELIXIR_NAME,"Heilelixier"
HEALINGELIXIR_LOCKEDDESCRIPTION,"Gib Münzen für eine zweite Chance im Kampf aus, nachdem du getroffen wurdest!"
HEALINGELIXIR_DESCRIPTION_LEVEL_1,"Tausche Münzen gegen eine zweite Chance ein!"
HEALINGELIXIR_DESCRIPTION_LEVEL_2,"10% weniger Münzen für eine zweite Chance!"
HEALINGELIXIR_DESCRIPTION_LEVEL_3,"20% weniger Münzen für eine zweite Chance!"
HEALINGELIXIR_DESCRIPTION_LEVEL_4,"30% weniger Münzen für eine zweite Chance!"
HEALINGELIXIR_DESCRIPTION_LEVEL_5,"40% weniger Münzen für eine zweite Chance!"
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_1,"Senke Kosten um 10%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_2,"Senke Kosten um 20%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_3,"Senke Kosten um 30%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_4,"Senke Kosten um 40%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_5,"Max. Stufe"
WINGEDBOOTS_NAME,"Flügelschuhe"
WINGEDBOOTS_LOCKEDDESCRIPTION,"Flieg dein Schiff über mehrere Gebiete!"
WINGEDBOOTS_DESCRIPTION_LEVEL_1,"Überfliege 3 Gebiete."
WINGEDBOOTS_DESCRIPTION_LEVEL_2,"Überfliege 4 Gebiete."
WINGEDBOOTS_DESCRIPTION_LEVEL_3,"Überfliege 5 Gebiete."
WINGEDBOOTS_DESCRIPTION_LEVEL_4,"Überfliege 6 Gebiete."
WINGEDBOOTS_DESCRIPTION_LEVEL_5,"Überfliege 7 Gebiete."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_1,"Auf 4 Gebiete verbessern."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_2,"Auf 5 Gebiete verbessern."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_3,"Auf 6 Gebiete verbessern."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_4,"Auf 7 Gebiete verbessern."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_5,"Max. Stufe"
SPARX_NAME,"Sparx"
SPARX_LOCKEDDESCRIPTION,"Rekrutiere Sparx, um alle Bomben im Weg zu zerstören!"
SPARX_DESCRIPTION_LEVEL_1,"Zerstöre 6 Bomben automatisch. 2x-Punkte-Multiplikator."
SPARX_DESCRIPTION_LEVEL_2,"Zerstöre 8 Bomben automatisch. 3x-Punkte-Multiplikator."
SPARX_DESCRIPTION_LEVEL_3,"Zerstöre 10 Bomben automatisch. 4x-Punkte-Multiplikator."
SPARX_DESCRIPTION_LEVEL_4,"Zerstöre 12 Bomben automatisch. 5x-Punkte-Multiplikator."
SPARX_DESCRIPTION_LEVEL_5,"Zerstöre 14 Bomben automatisch. 6x-Punkte-Multiplikator."
SPARX_UPGRADEDESCRIPTION_LEVEL_1,"Zerstöre 8 Bomben und erhalte einen 3x-Punkte-Multiplikator."
SPARX_UPGRADEDESCRIPTION_LEVEL_2,"Zerstöre 10 Bomben und erhalte einen 4x-Punkte-Multiplikator."
SPARX_UPGRADEDESCRIPTION_LEVEL_3,"Zerstöre 12 Bomben und erhalte einen 5x-Punkte-Multiplikator."
SPARX_UPGRADEDESCRIPTION_LEVEL_4,"Zerstöre 14 Bomben und erhalte einen 6x-Punkte-Multiplikator."
SPARX_UPGRADEDESCRIPTION_LEVEL_5,"Max. Stufe"
TIMETWISTER_NAME,"Zeitwender"
TIMETWISTER_LOCKEDDESCRIPTION,"Verlangsame die Zeit, um präzise zu zielen und große Kombos zu schaffen!"
TIMETWISTER_DESCRIPTION_LEVEL_1,"Verlangsamt die Zeit beim Zielen. 2x-Punkte-Multiplikator."
TIMETWISTER_DESCRIPTION_LEVEL_2,"Verlangsamt die Zeit beim Zielen. 3x-Punkte-Multiplikator."
TIMETWISTER_DESCRIPTION_LEVEL_3,"Verlangsamt die Zeit beim Zielen. 4x-Punkte-Multiplikator."
TIMETWISTER_DESCRIPTION_LEVEL_4,"Verlangsamt die Zeit beim Zielen. 5x-Punkte-Multiplikator."
TIMETWISTER_DESCRIPTION_LEVEL_5,"Verlangsamt die Zeit beim Zielen. 6x-Punkte-Multiplikator."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_1,"Gewährt längere Wirkung und einen 3x-Punkte-Multiplikator."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_2,"Gewährt längere Wirkung und einen 4x-Punkte-Multiplikator"
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_3,"Gewährt längere Wirkung und einen 5x-Punkte-Multiplikator"
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_4,"Gewährt längere Wirkung und einen 6x-Punkte-Multiplikator"
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_5,"Max. Stufe"
HIDDENTREASURE_NAME,"SCHATZ"
HIDDENTREASURE_LOCKEDDESCRIPTION,"Sammle automatisch Münzen und erstelle eine Kombo-Münze für jede Kombo-Stufe!"
HIDDENTREASURE_DESCRIPTION_LEVEL_1,"Sammle automatisch Münzen für mehr Kombo-Münzen. 2x-Punkte-Multiplikator."
HIDDENTREASURE_DESCRIPTION_LEVEL_2,"Sammle automatisch Münzen für mehr Kombo-Münzen. 3x-Punkte-Multiplikator."
HIDDENTREASURE_DESCRIPTION_LEVEL_3,"Sammle automatisch Münzen für mehr Kombo-Münzen. 4x-Punkte-Multiplikator."
HIDDENTREASURE_DESCRIPTION_LEVEL_4,"Sammle automatisch Münzen für mehr Kombo-Münzen. 5x-Punkte-Multiplikator."
HIDDENTREASURE_DESCRIPTION_LEVEL_5,"Sammle automatisch Münzen für mehr Kombo-Münzen. 6x-Punkte-Multiplikator."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_1,"Gewährt längere Wirkung und einen 3x-Punkte-Multiplikator."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_2,"Gewährt längere Wirkung und einen 4x-Punkte-Multiplikator."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_3,"Gewährt längere Wirkung und einen 5x-Punkte-Multiplikator."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_4,"Gewährt längere Wirkung und einen 6x-Punkte-Multiplikator."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_5,"Max. Stufe"
SKYIRONSHIELD_NAME,"Sky-Eisenschild"
SKYIRONSHIELD_LOCKEDDESCRIPTION,"Erhalte viele Punkte für das Berühren von Bomben und werde unbesiegbar!"
SKYIRONSHIELD_DESCRIPTION_LEVEL_1,"Bei Aktivierung immun gegen Schaden. 6x-Punkte-Multiplikator."
SKYIRONSHIELD_DESCRIPTION_LEVEL_2,"Bei Aktivierung immun gegen Schaden. 7x-Punkte-Multiplikator."
SKYIRONSHIELD_DESCRIPTION_LEVEL_3,"Bei Aktivierung immun gegen Schaden. 8x-Punkte-Multiplikator."
SKYIRONSHIELD_DESCRIPTION_LEVEL_4,"Bei Aktivierung immun gegen Schaden. 9x-Punkte-Multiplikator."
SKYIRONSHIELD_DESCRIPTION_LEVEL_5,"Bei Aktivierung immun gegen Schaden. 10x-Punkte-Multiplikator."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_1,"Gewährt längere Wirkung und einen 7x-Punkte-Multiplikator."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_2,"Gewährt längere Wirkung und einen 8x-Punkte-Multiplikator."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_3,"Gewährt längere Wirkung und einen 9x-Punkte-Multiplikator."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_4,"Gewährt längere Wirkung und einen 10x-Punkte-Multiplikator."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_5,"Max. Stufe"
EXTRAMAGICITEMSLOT_NAME,"Magischer Objektslot"
EXTRAMAGICITEMSLOT_LOCKEDDESCRIPTION,"Sammle und halte zwei magische Objekte!"
EXTRAMAGICITEMSLOT_DESCRIPTION_LEVEL_1,"Sammle und halte zwei magische Objekte!"
EXTRAMAGICITEMSLOT_UPGRADEDESCRIPTION_LEVEL_1,"Objekt nicht verbesserbar."
ROCKETBOOSTER_NAME,"Raketenverstärker"
ROCKETBOOSTER_LOCKEDDESCRIPTION,"Tausche Münzen ein, um nach vorn zu schnellen und einen Punkte-Multiplikator von bis zu 10x zu erhalten!"
ROCKETBOOSTER_DESCRIPTION_LEVEL_1,"Tausche Münzen ein, um nach vorn zu schnellen und einen Punkte-Multiplikator von bis zu 10x zu erhalten!"
ROCKETBOOSTER_UPGRADEDESCRIPTION_LEVEL_1,"Objekt nicht verbesserbar."
SCOREMULTIPLIER_2_NAME,"Punkte-Multiplikator"
SCOREMULTIPLIER_5_NAME,"Punkte-Multiplikator"
SCOREMULTIPLIER_10_NAME,"Punkte-Multiplikator"
SCOREMULTIPLIER_25_NAME,"Punkte-Multiplikator"
SCOREMULTIPLIER_50_NAME,"Punkte-Multiplikator"
WILDCARD_NAME,"Magische Objektfabrik"
WILDCARD_LOCKEDDESCRIPTION,"Erschaffe jederzeit magische Objekte! Zufällige Auswahl aus gekauften Objekten, Bonus-Punkte-Multiplikatoren, Steinen und mehr!"
WILDCARD_UPGRADEDESCRIPTION_LEVEL_1,"Jeder Kauf bringt 10 Anwendungen."
ACTIVATESELL_TITLE,"SPIELE ONLINE!"
ACTIVATESELL_FACEBOOK_TITLE,"EINFACHE FACEBOOK-ANMELDUNG"
ACTIVATESELL_FACEBOOK_TEXT,"GEHT GANZ FIX! NUR 2 MINUTEN."
ACTIVATESELL_CLOUDSAVE_TITLE,"CLOUD-SPEICHERUNG"
ACTIVATESELL_CLOUDSAVE_TEXT,"SYNCHRONISIERE DEINE SKYLANDER UND FORTSCHRITTE FÜR ALL DEINE GERÄTE!"
ACTIVATESELL_SHOWDOWNS_TITLE,"Showdowns"
ACTIVATESELL_SHOWDOWNS_TEXT,"SPIELE IN KNALLHARTEN WETTKÄMPFEN GEGEN DEINE FREUNDE"
SHOWDOWNSELL_TITLE,"Beitritt zum Showdown!"
SHOWDOWNSELL_DESCRIPTION,"Am Ende des Showdowns bekommst du Münzen für jeden besiegten Freund!"
SHOWDOWNSELL_FACEBOOK,"Zeig deine Showdown-Aktivitäten bei Facebook, um Freunde in deinen listigen Plan zu locken."
PORTALUI_PORTALON,"Ist es eingeschaltet?"
PORTALUI_PAIRED,"Ist es mit diesem Gerät gekoppelt?"
PORTALUI_BATTERIES,"Sind die Batterien schwach?"
PORTALUI_PLACETOY,"Bitte setze {0} auf das Magische Portal mit Bluetooth."
PORTALUI_WRONGTOY,"Das ist nicht {0}! "
SHOWDOWNS_SIGNINPROMPT_TEXT,"Spiele online Showdowns, um haufenweise Münzen zu verdienen!"
SHOWDOWNS_SIGNINPROMPT_LEARNMORE,"MEHR INFOS!"
MAGIC_ITEM_SCREEN_BUY_COINS,"{0} Münzen für {1} Steine kaufen?"
MAGIC_ITEM_USES_FOR_CONSUMABLES,"{0} Anwend."
MAGIC_ITEM_EMPTY_CONSUMABLE,"Leer!"
CUTSCENE_DISTANCE_BONUS,"Entfernungsbonus"
SHOWDOWN_NONETWORK_ERROR,"ACTIVATE zum Anzeigen von Showdowns ist leider nicht erreichbar.

Bitte überprüfe deine Netzwerkverbindung."
PORTALUI_TOOMANYTOYS,"Platziere immer nur ein Spielzeug auf dem Magischen Portal mit Bluetooth."
PORTALUI_LINKTOYQUESTION,"Möchtest du dieses Spielzeug dauerhaft mit deinem ACTIVATE-Konto verbinden?"
PORTALUI_TOYLIMITEXPLANATION,"Jedes Spielzeug kann nur mit einem ACTIVATE-Konto verbunden werden."
PORTALUI_TOYGEMREWARDLIMIT,"(Muss online sein)"
GEM_NAME,"Stein"
SHOWDOWN_SELL_TEXT,"Du kannst diese lustigen Wettbewerbe alleine oder mit Freunden spielen. Mach mit und kassiere deine Belohnung, wenn der Showdown endet!"
SHOWDOWN_SELL_TITLE,"SHOWDOWNS?"
ELEMENT_AIR,"Luft"
ELEMENT_FIRE,"Feuer"
ELEMENT_EARTH,"Erde"
ELEMENT_WATER,"Wasser"
ELEMENT_UNDEAD,"Gespenster"
ELEMENT_TECH,"Technologie"
ELEMENT_LIFE,"Leben"
ELEMENT_MAGIC,"Magie"
CREDITS_TITLE,"Credits"
HELP_TITLE,"Hilfe-Optionen"
STOREHUB_TITLE,"Sammlung"
LOCALNOTIFICATION_EOTD_MATCH,"Element des Tages-Treffer! Setze heute {0} für einen Münzen-Bonus ein!"
GAMECENTER_DISABLED,"Game Center deaktiviert"
GAMECENTER_REENABLE,"Melde dich bei der Game Center-App an, um Game Center zu reaktivieren."
GENERIC_CONFIRM,"OK"
GAMECENTER_UNAVAILABLE,"Game Center nicht verfügbar"
GAMECENTER_CHECKSETTINGS,"Überprüfe deine Einstellungen in der Game Center-App und stelle sicher, dass du mit dem Internet verbunden bist."
GAMECIRCLE_UNAVAILABLE,"GameCircle nicht verfügbar"
GAMECIRCLE_CHECKSETTINGS,"Überprüfe deine Einstellungen und stelle sicher, dass du mit dem Internet verbunden bist."
GAMECENTER_CONNECTING,"Verbindung zum Game Center"
GAMECIRCLE_CONNECTING,"Verbindung zum Amazon GameCircle"
GENERIC_UNABLETOCONNECT,"Verbindung nicht möglich"
GAMECENTER_INTERNETREQUIRED,"Internet-Verbindung zum Aufrufen des Game Centers erforderlich."
GAMECENTER_CANNOTCONNECT,"Verbindung zum Game Center nicht möglich"
GEMPURCHASE_ERRORTITLE,"Edelsteinkauf"
GEMPURCHASE_INTERNETREQUIRED,"Wi-Fi- oder mobiles Netzwerk zum Edelsteinkauf erforderlich."
GEMPURCHASE_INAPP_RESTRICTION_TEXT,"Dieses Gerät ist nicht berechtigt zum In-App-Kauf bei iTunes."
GEMPURCHASE_INAPP_RESTRICTION_TITLE,"In-App-Einschränkung"
GEMPURCHASE_PURCHASING,"Steine werden gekauft"
GEMPURCHASE_LOADINGPRODUCTS,"Produkte laden ..."
GEMPURCHASE_CANNOTCONNECTTOSTORE,"Verbindung zum iTunes Store nicht möglich"
GENERIC_GOBACK,"Zurück"
GEMPURCHASE_PURCHASED,"Steine gekauft"
GEMPURCHASE_SUCCEEDED,"Edelsteinkauf erfolgreich!"
GEMPURCHASE_FAILED_TITLE,"Kauf gescheitert"
GEMPURCHASE_FAILED_TEXT,"Edelsteinkauf konnte nicht abgeschlossen werden."
FAQ_INTERNETREQUIRED,"Internet-Verbindung zum Aufrufen der FAQ erforderlich."
MAIL_UNABLETOSEND_TITLE,"Nachricht kann nicht gesendet werden"
MAIL_UNABLETOSEND_TEXT,"Überprüfe die Netzwerkverbindung und die Konfiguration des E-Mail-Clients."
UPDATE_REQUIRED,"Update erforderlich"
UPDATE_AVAILABLE,"Update verfügbar"
UPDATE_CONFIRM,"Update starten"
UPDATE_CANCEL,"Später"
UPDATE_TEXT_AVAILABLE,"Es ist eine neue Version von Skylanders Cloud Patrol verfügbar!"
UPDATE_TEXT_REQUIRED,"Neue Version von Skylanders Cloud Patrol verfügbar. Update erforderlich!"
GENERIC_CONNECTING,"Verbinden ..."
GAMECIRCLE_CANNOTCONNECT,"Verbindung zu Amazon GameCircle nicht möglich"
SHOWDOWNS_LOGININGAMEPROMPT,"Beende das Spiel und melde dich bei ACTIVATE an, um Showdowns zu spielen."
MOTD,"Willkommen bei Skylanders Cloud Patrol!"
MAGIC_ITEM_CONSUMABLE_MAXED,"Max. Anwendungen gekauft!"
BADGE_UPGRADE,"Goldabzeichen!"
SHOWDOWN_ATTEMPT_FINISHED_BEST,"Abgeschl. Versuch.
Rekord: {0}"
SHOWDOWN_BEST_OFF,"Rekord: noch {0}"
SHOWDOWN_CURRENT_OFF,"Aktuell: noch {0}"
ACTIVATE_IMPORT_FINISHED,"Willkommen bei ACTIVATE!"
PORTALUI_CANNOTFIND,"Magisches Portal mit Bluetooth nicht gefunden ..."
GENERIC_CLAIM,"Anspruch"
MAGIC_ITEM_UPGRADE_BUTTON_MAX,"Max."
ACTIVATE_ONLINE_NOTIFICATION,"Online als {0}"
ACTIVATE_OFFLINE_NOTIFICATION,"**Offline** als {0}"
ACTIVATE_FIRST_LOGIN_THANKS_TEXT,"Danke für die Registrierung. Du erhältst {0} Steine!"
ACTIVATE_FIRST_LOGIN_THANKS_TITLE,"ACTIVATE-Belohnung"
TIME_DAY,"Tag"
TIME_DAYS,"Tage"
TIME_HOUR,"Stunde"
TIME_HOURS,"Stunden"
TIME_MINUTE,"Minute"
TIME_MINUTES,"Minuten"
TIME_SECOND,"Sekunde"
TIME_SECONDS,"Sekunden"
TIME_DAY_ABBREV,"T"
TIME_HOUR_ABBREV,"S"
TIME_MINUTE_ABBREV,"M"
TIME_SECOND_ABBREV,"s"
TIME_NOW,"Jetzt"
MIGRATESAVE_HEADING,"KONTO ANLEGEN"
MIGRATESAVE_EXPLANATION,"Sollen die Cloud Patrol-Fortschritte und -Einkäufe von diesem Gerät auf dein ACTIVATE-Konto übertragen werden?"
