Loc Tag,"Italian"
SHOWDOWN_ADD_FRIENDS_HELP_CLOSED,"Premi qui per aggiungere amici di ACTIVATE o Facebook con cui duellare"
SHOWDOWN_FRIENDS_DEFEATED,"{0} amici sconfitti"
SHOWDOWN_STATE_AWARDED,"Assegnate"
SHOWDOWN_STATE_UPDATING,"Aggiorno..."
SHOWDOWN_STATE_CLOSED,"Chiuso"
SHOWDOWN_LEADERBOARD_NO_SCORE,"Punteggio?"
SHOWDOWN_LIST_REFRESHING,"Aggiornamento Duelli..."
SHOWDOWN_LIST_NO_SHOWDOWNS_JOINED,"Nessun Duello in corso"
SHOWDOWN_LIST_NO_SHOWDOWNS_FOUND,"Nessun Duello disponibile"
SHOWDOWN_CHAMPION,"Campione:
{0}"
SHOWDOWN_X_OF_Y_FRIENDS,"#{0} su {1} amici"
SHOWDOWN_FRIEND_PLAYING_SINGLE,"{0} amico gioca"
SHOWDOWN_FRIEND_PLAYING_PLURAL,"{0} amici giocano"
SHOWDOWN_FRIEND_PLAYED_SINGLE,"{0} amico ha giocato"
SHOWDOWN_FRIEND_PLAYED_PLURAL,"{0} amici hanno giocato"
SHOWDOWN_BUTTON_STOP,"Ferma"
SHOWDOWN_BUTTON_STOP_CONFIRM,"Premi di nuovo"
SHOWDOWN_COLLECT_ERROR,"Ricompensa non disponibile al momento.
Riprova più tardi."
SHOWDOWN_JOIN_ERROR,"Impossibile accedere alla sfida.
Riprova più tardi."
SHOWDOWN_TIME_REMAINING,"Chiude tra {0}"
SHOWDOWN_CLOSE_TIME,"Chiuso
{0}/{1}"
SHOWDOWN_REWARD_FRIENDS_DEFEATED,"Amici sconfitti"
SHOWDOWN_REWARD_BREAKDOWN_TITLE,"Elenco ricompense"
SHOWDOWN_NO_SCORE_POSTED,"Non hai inserito il tuo punteggio"
SHOWDOWN_DETAILS_UPDATING,"Aggiornamento dati..."
SHOWDOWN_DETAILS_ADD_FRIENDS_TEXT,"Premi qui per aggiungere amici di ACTIVATE con cui duellare.

Per ogni amico che batti, riceverai un bel gruzzolo di monete!"
SHOWDOWN_MESSAGE_OPEN_SCORE,"Dai, giochiamo a {0} insieme!"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE,"Batti {0} {1} in {2}!"
SHOWDOWN_MESSAGE_OPEN_NO_SCORE_TIME,"Batti {0} in {1}!"
SHOWDOWN_MESSAGE_CLOSED_SCORE,"Ho {0} {1} in {2}! Gioca anche tu!"
SHOWDOWN_MESSAGE_CLOSED_NO_SCORE,"La prossima volta, giochiamo a {0}!"
SHOWDOWN_MESSAGE_JOINED_GAINING,"Occhio, sto per batterti a {0} con {1} {2}!"
SHOWDOWN_MESSAGE_JOINED_CAN_YOU_BEAT,"Ho {0} {1} in {2}. Prova a battermi!"
SHOWDOWN_MESSAGE_JOINED_PREPARE,"Preparati: parteciperò a {0}. Sei avvisato!"
SHOWDOWN_MESSAGE_JOINED_ALMOST_BEAT,"C'ero quasi: {1} {2} in {0}! La prossima volta..."
SHOWDOWN_MESSAGE_JOINED_BEAT,"Ho vinto a {2} con {0} {1}. Grazie per le monete!"
SHOWDOWN_MESSAGE_JOINED_NICE_JOB,"Wow, {0} {1} in {2}! Ottimo lavoro!"
SHOWDOWN_LOCAL_NOTIFICATION_MESSAGE,"Il Duello {0} è finito. Torna per vedere se hai vinto un premio!"
SHOWDOWN_NOTIFICATION_NEWBESTTIME,"Nuovo tempo!
{0}!"
SHOWDOWN_NOTIFICATION_NEWHIGHSCORE,"Nuovo record!
{0}!"
SHOWDOWN_NOTIFICATION_ATTEMPTCOMPLETED,"Tentativo completato!
{0}"
LEADERBOARD_TAB_LOADING,"Carico le classifiche..."
SHOWDOWN_DETAILS_TITLE,"Dettagli Duello"
LEADERBOARD_TAB_NOT_CONNECTED,"Nessuna connessione a Internet. Devi essere connesso a Internet per visualizzare i punteggi delle classifiche."
LEADERBOARD_TAB_ERROR,"Caricamento classifiche fallito"
RATE_APP_DIALOG_OK,"OK"
RATE_APP_DIALOG_LATER,"Dopo"
RATE_APP_DIALOG_NO,"No, grazie"
TOY_LINK_STATUS_CONNECTING,"Connessione..."
TOY_LINK_STATUS_CHECKING,"Verifica..."
TOY_LINK_STATUS_UNLOCKING,"Sblocco..."
TOYLINK_ERROR_MISSING_DIGITS,"Il codice è troppo corto. Hai dimenticato delle cifre?"
TOYLINK_ERROR_TOO_MANY_UNLOCKS,"Questo codice singolo è stato utilizzato troppe volte."
TOYLINK_ERROR_TIMEOUT,"Server non raggiungibile. Verifica di essere online."
TOYLINK_ERROR_TITLE_TRY_AGAIN,"Riprova"
TOYLINK_ERROR_UNEXPECTED_ERROR,"Si è verificato un errore durante la verifica del codice."
TOYLINK_ERROR_NO_BEDROCK,"Connessione al server fallita. Verifica di essere online."
ACTIVATE_PLEASE_WAIT,"Aspetta..."
ACTIVATE_SYNCING,"Sincr. progressi..."
ROYALDOUBLETROUBLE_UPGRADE_DESCRIPTION,"Bonus punti doppio per aver liberato le tane."
POPFIZZ_UPGRADE_DESCRIPTION,"Trapassa gli scudi!"
JETVAC_UPGRADE_DESCRIPTION,"Il Moltiplicatore esce più spesso dalla Fabbrica di oggetti."
ROYALDOUBLETROUBLE_UPGRADE_NAME,"Più formaggio"
POPFIZZ_UPGRADE_NAME,"Superbollicine"
JETVAC_UPGRADE_NAME,"Vac attacca"
ANVILRAIN_NAME,"Pioggia d'incudini"
ANVILRAIN_LOCKEDDESCRIPTION,"Colpisci i troll dall'alto con una pioggia di incudini!"
ANVILRAIN_DESCRIPTION_LEVEL_1,"Sgancia 3 incudini sui troll. Moltiplicatore punteggio 100X."
ANVILRAIN_DESCRIPTION_LEVEL_2,"Sgancia 4 incudini sui troll. Moltiplicatore punteggio 150X."
ANVILRAIN_DESCRIPTION_LEVEL_3,"Sgancia 6 incudini sui troll. Moltiplicatore punteggio 200X."
ANVILRAIN_DESCRIPTION_LEVEL_4,"Sgancia 8 incudini sui troll. Moltiplicatore punteggio 250X."
ANVILRAIN_DESCRIPTION_LEVEL_5,"Sgancia 10 incudini sui troll. Moltiplicatore punteggio 300X."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_1,"Colpisci 4 troll dall'alto. Moltiplicatore 150x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_2,"Colpisci 6 troll dall'alto. Moltiplicatore 200x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_3,"Colpisci 8 troll dall'alto. Moltiplicatore 250x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_4,"Colpisci 10 troll dall'alto. Moltiplicatore 300x."
ANVILRAIN_UPGRADEDESCRIPTION_LEVEL_5,"Pioggia d'incudini al massimo!"
GHOSTSWORDS_NAME,"Spade fantasma"
GHOSTSWORDS_LOCKEDDESCRIPTION,"Usa le Spade fantasma per eliminare rapidamente i nemici e ottenere punti bonus a ogni colpo."
GHOSTSWORDS_DESCRIPTION_LEVEL_1,"Distrugge nemici e proiettili. Bonus punteggio 25x."
GHOSTSWORDS_DESCRIPTION_LEVEL_2,"Distrugge nemici e proiettili. Bonus punteggio 50x."
GHOSTSWORDS_DESCRIPTION_LEVEL_3,"Distrugge nemici e proiettili. Bonus punteggio 75x."
GHOSTSWORDS_DESCRIPTION_LEVEL_4,"Distrugge nemici e proiettili. Bonus punteggio 100x."
GHOSTSWORDS_DESCRIPTION_LEVEL_5,"Distrugge nemici e proiettili. Bonus punteggio 125x."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_1,"Upgrade: bonus punteggio 50x e durata maggiore."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_2,"Upgrade: bonus punteggio 75x e durata maggiore."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_3,"Upgrade: bonus punteggio 100x e durata maggiore."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_4,"Upgrade: bonus punteggio 125x e durata maggiore."
GHOSTSWORDS_UPGRADEDESCRIPTION_LEVEL_5,"Liv. max"
HEALINGELIXIR_NAME,"Elisir curativo"
HEALINGELIXIR_LOCKEDDESCRIPTION,"Spendi monete per continuare un volo dopo essere stato colpito!"
HEALINGELIXIR_DESCRIPTION_LEVEL_1,"Compra un'altra chance con le monete!"
HEALINGELIXIR_DESCRIPTION_LEVEL_2,"Compra una seconda chance con il 10% di sconto!"
HEALINGELIXIR_DESCRIPTION_LEVEL_3,"Compra una seconda chance con il 20% di sconto!"
HEALINGELIXIR_DESCRIPTION_LEVEL_4,"Compra una seconda chance con il 30% di sconto!"
HEALINGELIXIR_DESCRIPTION_LEVEL_5,"Compra una seconda chance con il 40% di sconto!"
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_1,"Riduce il costo del 10%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_2,"Riduce il costo del 20%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_3,"Riduce il costo del 30%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_4,"Riduce il costo del 40%."
HEALINGELIXIR_UPGRADEDESCRIPTION_LEVEL_5,"Liv. max"
WINGEDBOOTS_NAME,"Stivali alati"
WINGEDBOOTS_LOCKEDDESCRIPTION,"Attraversa istantaneamente più aree!"
WINGEDBOOTS_DESCRIPTION_LEVEL_1,"Attraversa 3 aree."
WINGEDBOOTS_DESCRIPTION_LEVEL_2,"Attraversa 4 aree."
WINGEDBOOTS_DESCRIPTION_LEVEL_3,"Attraversa 5 aree."
WINGEDBOOTS_DESCRIPTION_LEVEL_4,"Attraversa 6 aree."
WINGEDBOOTS_DESCRIPTION_LEVEL_5,"Attraversa 7 aree."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_1,"Potenzia a 4 aree."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_2,"Potenzia a 5 aree."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_3,"Potenzia a 6 aree."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_4,"Potenzia a 7 aree."
WINGEDBOOTS_UPGRADEDESCRIPTION_LEVEL_5,"Liv. max"
SPARX_NAME,"Sparx"
SPARX_LOCKEDDESCRIPTION,"Recluta Sparx per distruggere tutte le bombe!"
SPARX_DESCRIPTION_LEVEL_1,"Distrugge automaticamente 6 bombe. Moltiplicatore 2X."
SPARX_DESCRIPTION_LEVEL_2,"Distrugge automaticamente 8 bombe. Moltiplicatore 3X."
SPARX_DESCRIPTION_LEVEL_3,"Distrugge automaticamente 10 bombe. Moltiplicatore 4X."
SPARX_DESCRIPTION_LEVEL_4,"Distrugge automaticamente 12 bombe. Moltiplicatore 5X."
SPARX_DESCRIPTION_LEVEL_5,"Distrugge automaticamente 14 bombe. Moltiplicatore 6X."
SPARX_UPGRADEDESCRIPTION_LEVEL_1,"Distrugge 8 bombe e aggiunge un moltiplicatore 3X."
SPARX_UPGRADEDESCRIPTION_LEVEL_2,"Distrugge 10 bombe e aggiunge un moltiplicatore 4X."
SPARX_UPGRADEDESCRIPTION_LEVEL_3,"Distrugge 12 bombe e aggiunge un moltiplicatore 5X."
SPARX_UPGRADEDESCRIPTION_LEVEL_4,"Distrugge 14 bombe e aggiunge un moltiplicatore 6X."
SPARX_UPGRADEDESCRIPTION_LEVEL_5,"Liv. max"
TIMETWISTER_NAME,"Distorcitempo"
TIMETWISTER_LOCKEDDESCRIPTION,"Rallenta il tempo per mirare con precisione ed eseguire grosse combo!"
TIMETWISTER_DESCRIPTION_LEVEL_1,"Rallenta il tempo quando miri. Moltiplicatore 2X."
TIMETWISTER_DESCRIPTION_LEVEL_2,"Rallenta il tempo quando miri. Moltiplicatore 3X."
TIMETWISTER_DESCRIPTION_LEVEL_3,"Rallenta il tempo quando miri. Moltiplicatore 4X."
TIMETWISTER_DESCRIPTION_LEVEL_4,"Rallenta il tempo quando miri. Moltiplicatore 5X."
TIMETWISTER_DESCRIPTION_LEVEL_5,"Rallenta il tempo quando miri. Moltiplicatore 6X."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_1,"Aumenta il tempo attivo e aggiunge un moltiplicatore 3X."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_2,"Aumenta il tempo attivo e aggiunge un moltiplicatore 4X."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_3,"Aumenta il tempo attivo e aggiunge un moltiplicatore 5X."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_4,"Aumenta il tempo attivo e aggiunge un moltiplicatore 6X."
TIMETWISTER_UPGRADEDESCRIPTION_LEVEL_5,"Liv. max"
HIDDENTREASURE_NAME,"TESORO NASCOSTO"
HIDDENTREASURE_LOCKEDDESCRIPTION,"Raccoglie le monete e crea una moneta combo per ogni livello della combo!"
HIDDENTREASURE_DESCRIPTION_LEVEL_1,"Raccoglie le monete e crea più monete combo. Moltiplicatore 2X."
HIDDENTREASURE_DESCRIPTION_LEVEL_2,"Raccoglie le monete e crea più monete combo. Moltiplicatore 3X."
HIDDENTREASURE_DESCRIPTION_LEVEL_3,"Raccoglie le monete e crea più monete combo. Moltiplicatore 4X."
HIDDENTREASURE_DESCRIPTION_LEVEL_4,"Raccoglie le monete e crea più monete combo. Moltiplicatore 5X."
HIDDENTREASURE_DESCRIPTION_LEVEL_5,"Raccoglie le monete e crea più monete combo. Moltiplicatore 6X."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_1,"Aumenta il tempo attivo e aggiunge un moltiplicatore 3x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_2,"Aumenta il tempo attivo e aggiunge un moltiplicatore 4x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_3,"Aumenta il tempo attivo e aggiunge un moltiplicatore 5x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_4,"Aumenta il tempo attivo e aggiunge un moltiplicatore 6x."
HIDDENTREASURE_UPGRADEDESCRIPTION_LEVEL_5,"Liv. max"
SKYIRONSHIELD_NAME,"Cieli di ferro"
SKYIRONSHIELD_LOCKEDDESCRIPTION,"Tocca le bombe per diventare invincibile e fare tanti punti!"
SKYIRONSHIELD_DESCRIPTION_LEVEL_1,"Finché è attivo, sei invulnerabile. Moltiplicatore 6X."
SKYIRONSHIELD_DESCRIPTION_LEVEL_2,"Finché è attivo, sei invulnerabile. Moltiplicatore 7X."
SKYIRONSHIELD_DESCRIPTION_LEVEL_3,"Finché è attivo, sei invulnerabile. Moltiplicatore 8X."
SKYIRONSHIELD_DESCRIPTION_LEVEL_4,"Finché è attivo, sei invulnerabile. Moltiplicatore 9X."
SKYIRONSHIELD_DESCRIPTION_LEVEL_5,"Finché è attivo, sei invulnerabile. Moltiplicatore 10X."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_1,"Aumenta il tempo attivo e aggiunge un moltiplicatore 7X."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_2,"Aumenta il tempo attivo e aggiunge un moltiplicatore 8X."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_3,"Aumenta il tempo attivo e aggiunge un moltiplicatore 9X."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_4,"Aumenta il tempo attivo e aggiunge un moltiplicatore 10X."
SKYIRONSHIELD_UPGRADEDESCRIPTION_LEVEL_5,"Liv. max"
EXTRAMAGICITEMSLOT_NAME,"Slot Oggetto magico"
EXTRAMAGICITEMSLOT_LOCKEDDESCRIPTION,"Prendi e usa due Oggetti magici per volta!"
EXTRAMAGICITEMSLOT_DESCRIPTION_LEVEL_1,"Prendi e usa due Oggetti magici per volta!"
EXTRAMAGICITEMSLOT_UPGRADEDESCRIPTION_LEVEL_1,"Upgrade non consentito."
ROCKETBOOSTER_NAME,"Turborazzo"
ROCKETBOOSTER_LOCKEDDESCRIPTION,"Spendi monete per percorrere una distanza casuale e ricevere un moltiplicatore 10x!"
ROCKETBOOSTER_DESCRIPTION_LEVEL_1,"Spendi monete per percorrere una distanza casuale e ricevere un moltiplicatore 10x!"
ROCKETBOOSTER_UPGRADEDESCRIPTION_LEVEL_1,"Upgrade non consentito."
SCOREMULTIPLIER_2_NAME,"Moltiplicatore"
SCOREMULTIPLIER_5_NAME,"Moltiplicatore"
SCOREMULTIPLIER_10_NAME,"Moltiplicatore"
SCOREMULTIPLIER_25_NAME,"Moltiplicatore"
SCOREMULTIPLIER_50_NAME,"Moltiplicatore"
WILDCARD_NAME,"Fabbrica di oggetti"
WILDCARD_LOCKEDDESCRIPTION,"Crea oggetti magici quando vuoi! Sceglie casualmente tra oggetti acquistati, moltiplicatori di punteggio, gemme e altro!"
WILDCARD_UPGRADEDESCRIPTION_LEVEL_1,"Ogni acquisto vale 10 utilizzi."
ACTIVATESELL_TITLE,"GIOCA ONLINE!"
ACTIVATESELL_FACEBOOK_TITLE,"ACCESSO A FACEBOOK"
ACTIVATESELL_FACEBOOK_TEXT,"CI VOGLIONO SOLO UN PAIO DI MINUTI!"
ACTIVATESELL_CLOUDSAVE_TITLE,"SALVATAGGIO"
ACTIVATESELL_CLOUDSAVE_TEXT,"SINCRONIZZA SKYLANDER E PROGRESSI SU TUTTI I DISPOSITIVI!"
ACTIVATESELL_SHOWDOWNS_TITLE,"DUELLI"
ACTIVATESELL_SHOWDOWNS_TEXT,"SFIDA GLI AMICI IN ORIGINALI PROVE DI ABILITÀ E DETERMINAZIONE!"
SHOWDOWNSELL_TITLE,"Disputerai un Duello!"
SHOWDOWNSELL_DESCRIPTION,"Alla fine del Duello, riceverai monete per ogni amico che hai sconfitto!"
SHOWDOWNSELL_FACEBOOK,"Pubblica l'attività dei Duelli su Facebook per coinvolgere i tuoi amici."
PORTALUI_PORTALON,"È acceso?"
PORTALUI_PAIRED,"È abbinato a questo dispositivo?"
PORTALUI_BATTERIES,"Le batterie sono scariche?"
PORTALUI_PLACETOY,"Posiziona {0} sul Portale del Potere Bluetooth."
PORTALUI_WRONGTOY,"Non è un {0}! "
SHOWDOWNS_SIGNINPROMPT_TEXT,"Gioca i Duelli online per vincere tante monete!"
SHOWDOWNS_SIGNINPROMPT_LEARNMORE,"INFO"
MAGIC_ITEM_SCREEN_BUY_COINS,"Comprare {0} monete per {1} gemme?"
MAGIC_ITEM_USES_FOR_CONSUMABLES,"{0} utilizzi"
MAGIC_ITEM_EMPTY_CONSUMABLE,"Vuoto!"
CUTSCENE_DISTANCE_BONUS,"Bonus distanza"
SHOWDOWN_NONETWORK_ERROR,"Impossibile accedere ad ACTIVATE per visualizzare i Duelli.

Verifica la tua connessione di rete."
PORTALUI_TOOMANYTOYS,"Posiziona un solo giocattolo sul Portale del Potere Bluetooth."
PORTALUI_LINKTOYQUESTION,"Vuoi salvare per sempre questo giocattolo nel tuo account ACTIVATE? "
PORTALUI_TOYLIMITEXPLANATION,"Ogni giocattolo può essere salvato su un solo account ACTIVATE."
PORTALUI_TOYGEMREWARDLIMIT,"(Devi essere online)"
GEM_NAME,"Gemma"
SHOWDOWN_SELL_TEXT,"Puoi affrontare queste divertenti gare da solo o con gli amici. Iscriviti, termina il Duello e incassa la tua ricompensa!"
SHOWDOWN_SELL_TITLE,"DUELLI?"
ELEMENT_AIR,"Aria"
ELEMENT_FIRE,"Fuoco"
ELEMENT_EARTH,"Terra"
ELEMENT_WATER,"Acqua"
ELEMENT_UNDEAD,"Non-morti"
ELEMENT_TECH,"Tecnica"
ELEMENT_LIFE,"Vita"
ELEMENT_MAGIC,"Magia"
CREDITS_TITLE,"Riconoscimenti"
HELP_TITLE,"Opzioni guida"
STOREHUB_TITLE,"Collezione"
LOCALNOTIFICATION_EOTD_MATCH,"Elemento del giorno! Usa {0} oggi per un bonus in monete!"
GAMECENTER_DISABLED,"Game Center disabilitato"
GAMECENTER_REENABLE,"Abilita nuovamente Game Center accedendo alla app Game Center."
GENERIC_CONFIRM,"OK"
GAMECENTER_UNAVAILABLE,"Game Center non disponibile"
GAMECENTER_CHECKSETTINGS,"Verifica le impostazioni nella app Game Center e accertati di essere connesso a Internet."
GAMECIRCLE_UNAVAILABLE,"GameCircle non disponibile"
GAMECIRCLE_CHECKSETTINGS,"Verifica le tue impostazioni e accertati di essere connesso a Internet."
GAMECENTER_CONNECTING,"Connessione a Game Center..."
GAMECIRCLE_CONNECTING,"Connessione ad Amazon Game Circle..."
GENERIC_UNABLETOCONNECT,"Connessione fallita"
GAMECENTER_INTERNETREQUIRED,"Accedere a Game Center richiede una connessione a Internet."
GAMECENTER_CANNOTCONNECT,"Connessione a Game Center fallita"
GEMPURCHASE_ERRORTITLE,"Acquistare di gemme"
GEMPURCHASE_INTERNETREQUIRED,"L'acquisto richiede una connessione Wi-Fi o mobile."
GEMPURCHASE_INAPP_RESTRICTION_TEXT,"Questo dispositivo non è autorizzato ad acquisti in-app su iTunes."
GEMPURCHASE_INAPP_RESTRICTION_TITLE,"Restrizione in-app"
GEMPURCHASE_PURCHASING,"Acquisto gemme..."
GEMPURCHASE_LOADINGPRODUCTS,"Carico prodotti..."
GEMPURCHASE_CANNOTCONNECTTOSTORE,"Connessione a iTunes Store fallita"
GENERIC_GOBACK,"Indietro"
GEMPURCHASE_PURCHASED,"Gemme acquistate"
GEMPURCHASE_SUCCEEDED,"Acquisto di gemme completato!"
GEMPURCHASE_FAILED_TITLE,"Acquisto fallito"
GEMPURCHASE_FAILED_TEXT,"L'acquisto di gemme non è andato a buon fine."
FAQ_INTERNETREQUIRED,"Per accedere alle FAQ è richiesta una connessione a Internet."
MAIL_UNABLETOSEND_TITLE,"Invio messaggio fallito"
MAIL_UNABLETOSEND_TEXT,"Verifica la connessione e la configurazione del client di posta"
UPDATE_REQUIRED,"Update richiesto"
UPDATE_AVAILABLE,"Update disponibile"
UPDATE_CONFIRM,"Aggiorna"
UPDATE_CANCEL,"Dopo"
UPDATE_TEXT_AVAILABLE,"È disponibile una nuova versione di Skylanders Cloud Patrol!"
UPDATE_TEXT_REQUIRED,"C'è una nuova versione di Skylanders Cloud Patrol: esegui l'update!"
GENERIC_CONNECTING,"Connessione..."
GAMECIRCLE_CANNOTCONNECT,"Connessione ad Amazon GameCircle fallita"
SHOWDOWNS_LOGININGAMEPROMPT,"Esci e accedi ad ACTIVATE per giocare nei Duelli."
MOTD,"Benvenuto a Skylanders Cloud Patrol!"
MAGIC_ITEM_CONSUMABLE_MAXED,"Acquistato il massimo!"
BADGE_UPGRADE,"Distintivo d'oro!"
SHOWDOWN_ATTEMPT_FINISHED_BEST,"Tentativo finito.
Migliore: {0}"
SHOWDOWN_BEST_OFF,"Migliore: diff. {0}"
SHOWDOWN_CURRENT_OFF,"Attuale: diff. {0}"
ACTIVATE_IMPORT_FINISHED,"Benvenuto su ACTIVATE!"
PORTALUI_CANNOTFIND,"Portale del Potere Bluetooth non trovato..."
GENERIC_CLAIM,"Mio!"
MAGIC_ITEM_UPGRADE_BUTTON_MAX,"Max"
ACTIVATE_ONLINE_NOTIFICATION,"Online come {0}"
ACTIVATE_OFFLINE_NOTIFICATION,"**Offline** come {0}"
ACTIVATE_FIRST_LOGIN_THANKS_TEXT,"Grazie. Eccoti {0} gemme!"
ACTIVATE_FIRST_LOGIN_THANKS_TITLE,"Premio ACTIVATE"
TIME_DAY,"giorno"
TIME_DAYS,"giorni"
TIME_HOUR,"ora"
TIME_HOURS,"ore"
TIME_MINUTE,"minuto"
TIME_MINUTES,"minuti"
TIME_SECOND,"secondo"
TIME_SECONDS,"secondi"
TIME_DAY_ABBREV,"g"
TIME_HOUR_ABBREV,"h"
TIME_MINUTE_ABBREV,"m"
TIME_SECOND_ABBREV,"s"
TIME_NOW,"Ora"
MIGRATESAVE_HEADING,"CONF. ACCOUNT"
MIGRATESAVE_EXPLANATION,"Vuoi trasferire progressi e acquisti di Cloud Patrol da questo dispositivo al tuo nuovo account ACTIVATE?"
MIGRATESAVE_DISCLAIMER,"Rispondi "NO" solo se intendi trasferire i dati su un altro account ACTIVATE in un secondo momento. Il trasferimento può essere eseguito una volta sola!"
MIGRATESAVE_ONLYONCE,"Puoi trasferire i dati una volta sola!"
CLOUDCONFLICT_HEADING,"Scegli salvataggio"
CLOUDCONFLICT_EXPLANATION,"Sono stati trovati più salvataggi collegati al tuo account ACTIVATE.
Scegli il salvataggio che vuoi usare."
CLOUDCONFLICT_RECOMMENDED,"Consigliato"
CLOUDCONFLICT_NOTSURE,"Non lo so!"
CLOUDCONFLICT_MOREINFO,"(altre info)"
GENERIC_CHOOSE,"Scegli"
GENERIC_OR,"O"
CHALLENGE_MESSAGE_SEND,"Invia"
CHALLENGE_MESSAGE_CANCEL,"Annulla"
GIANTS_COMING_SOON,"Giganti in arrivo!"
ACTIVATE_NOTIFICATION_LOGGED_OFF,"Disconnesso"
SHOWDOWN_STATUS_TIME_REMAINING,"Restano: {0}"
SHOWDOWN_STATUS_TIME_CURRENT,"Tempo: {0}"
SHOWDOWN_NOTIFICATION_CLOSED,"Il Duello è finito."
SHOWDOWN_NOTIFICATION_CLOSED_REWARD,"Il Duello è finito. Guarda se hai vinto un premio!"
PORTALUI_BLUETOOTH_ENABLED,"Il Bluetooth è abilitato?"
SS_LEGENDARY_TEXT,"Legendary"
TAG_COMING_SOON,"In arrivo!"
WANTED_POSTER_TITLE,"RICERCATI"
BADGE_LEVEL,"LIVELLO"
L_JETVAC_UPGRADE_NAME,"Attacco Legendary Vac"
L_JETVAC_UPGRADE_DESCRIPTION,"Il Moltiplicatore esce molto più spesso dalla Fabbrica di oggetti."
CHILL_UPGRADE_NAME,"Guardia d'inverno"
CHILL_UPGRADE_DESCRIPTION,"Lo scudo appare più spesso"
L_CHILL_UPGRADE_NAME,"Difensore diligente"
L_CHILL_UPGRADE_DESCRIPTION,"Lo scudo agisce 2 volte di fila"
SPROCKET_UPGRADE_NAME,"Sparx alleato"
SPROCKET_UPGRADE_DESCRIPTION,"Sparx appare più spesso"
L_IGNITOR_UPGRADE_NAME,"Arsenale leggendario"
L_IGNITOR_UPGRADE_DESCRIPTION,"Spade fantasma appare molto spesso"
SWARM_UPGRADE_NAME,"Nido di vespe"
SWARM_UPGRADE_DESCRIPTION,"Rallenta bombe chiodate e proiettili"
BOUNCER_UPGRADE_NAME,"Cecchino"
BOUNCER_UPGRADE_DESCRIPTION,"Toccando per sparare crei combo monete 2x"
L_BOUNCER_UPGRADE_NAME,"Cecchino leggendario"
L_BOUNCER_UPGRADE_DESCRIPTION,"Toccando per sparare crei combo monete 3x"
HOTDOG_UPGRADE_NAME,"Catalizzatore canino"
HOTDOG_UPGRADE_DESCRIPTION,"Le cose distrutte dai barili esplosivi rilasciano monete Fuoco"
HOTHEAD_UPGRADE_NAME,"Piromane"
HOTHEAD_UPGRADE_DESCRIPTION,"Tutti i barili diventano esplosivi"
FRIGHTRIDER_UPGRADE_NAME,"Feedback spaventoso"
FRIGHTRIDER_UPGRADE_DESCRIPTION,"I troll Mago sconfitti esplodono"
CRUSHER_UPGRADE_NAME,"Terremoto"
CRUSHER_UPGRADE_DESCRIPTION,"La combo monete max distrugge rocce e bombe"
L_STEALTH_ELF_UPGRADE_NAME,"Superattivo"
L_STEALTH_ELF_UPGRADE_DESCRIPTION,"Spara a velocità super!"
NINJINI_UPGRADE_NAME,"Confusione cosmica"
NINJINI_UPGRADE_DESCRIPTION,"I Maghi sono storditi dall'inizio e per più tempo"
FLASHWING_UPGRADE_NAME,"Frangiscudo"
FLASHWING_UPGRADE_DESCRIPTION,"Sparx lancia scudi chiodati oltre che bombe"
SHROOM_BOOM_UPGRADE_NAME,"Fungo 1-Up"
SHROOM_BOOM_UPGRADE_DESCRIPTION,"1 utilizzo extra di Elisir curativo per ogni acquisto "
TREEREX_UPGRADE_NAME,"Amico picchio"
